c,rounds,n,usd,sz,long_share,dur_s,t0
2026,1,11,31206.29578,34.842,0.0,0.0,1785860556925000000
347,2,14,30947.997040000002,40.101,0.0,3.019,1779463921365000000
1361,4,11,30779.97038,35.108000000000004,1.0,8.967,1783502143611000000
740,1,9,30740.15722,34.691,1.0,0.0,1781119058545000000
408,1,2,30582.60744,31.264,0.0,0.0,1779882519918000000
169,1,10,30248.52583,42.475,1.0,0.0,1778603975194000000
1000,3,7,30102.433699999994,26.134,0.0,5.9190000000000005,1782331775571000000
1933,1,3,30091.98698,36.652,0.0,0.0,1785419326575000000
716,1,5,30085.15766,34.0,1.0,0.0,1781021174737000000
1211,2,13,29941.71602,31.302,1.0,2.9530000000000003,1783014624163000000
1732,3,10,29919.26787,36.38999999999999,1.0,6.034000000000001,1785245864650000000
18,1,12,29646.734730000004,47.894000000000005,0.0,0.0,1777988163273000000
1159,1,5,29645.706400000003,29.593,1.0,0.0,1782950634165000000
1577,1,8,29640.96195,33.223,0.0,0.0,1784306695635000000
608,2,23,29591.96409,33.187,1.0,2.73,1780677912641000000
2045,1,20,29505.04171,34.912,1.0,0.0,1786014041019000000
1909,2,13,29408.661890000003,40.942,1.0,3.0050000000000003,1785388342563000000
0,1,16,29387.258400000002,52.882000000000005,0.0,0.0,1777853262326000000
251,1,21,29267.57708,40.0,1.0,0.0,1778824828781000000
1978,2,8,28859.05857,34.492,1.0,2.968,1785506897605000000
1091,2,3,28778.022599999997,27.354,1.0,3.087,1782741956692000000
454,1,11,28475.489869999998,29.119,0.0,0.0,1780063016161000000
1082,5,17,28463.6622,26.689,1.0,12.147,1782741422668000000
248,1,6,28222.611250000005,38.300000000000004,1.0,0.0,1778824153231000000
260,1,8,28219.76948,38.66,1.0,0.0,1778852833326000000
769,2,8,27571.051760000002,28.909,0.0,3.107,1781202677553000000
223,2,24,27467.583459999998,36.496,1.0,3.0730000000000004,1778810932236000000
1710,1,16,27425.9615,32.36000000000001,1.0,0.0,1785219038692000000
1748,4,15,27402.602460000002,33.935,1.0,9.097000000000001,1785248048667000000
1075,4,31,27290.7051,25.311999999999998,1.0,8.859,1782741323773000000
598,1,19,26630.38006,29.497,1.0,0.0,1780677420334000000
1496,1,2,26521.699399999998,31.457,1.0,0.0,1784222533676000000
993,1,1,26503.167600000004,23.634,0.0,0.0,1782331565498000000
296,2,11,26385.61376,37.952999999999996,1.0,2.96,1779115557067000000
367,1,9,26332.148289999997,28.63,0.0,0.0,1779840120764000000
1775,2,5,26213.22432,33.948,1.0,2.966,1785279554755000000
1661,1,4,25861.43879,28.943,1.0,0.0,1785160983785000000
637,1,13,25713.50373,29.755,1.0,0.0,1780689717430000000
709,3,7,25637.14317,28.621000000000002,1.0,5.972,1781020586653000000
849,1,13,25553.311599999997,21.933,0.0,0.0,1782091362551000000
1285,1,18,25423.593820000002,27.061,1.0,0.0,1783387792575000000
897,6,13,25055.1233,22.54,1.0,15.049000000000001,1782194128567000000
1264,2,9,24714.413010000004,25.929,1.0,2.8930000000000002,1783384852655000000
1839,1,1,24713.3641,32.377,1.0,0.0,1785341635572000000
326,1,3,24629.5234,34.732,0.0,0.0,1779208087430000000
266,2,15,24614.44917,34.063,1.0,3.043,1778853649375000000
1301,1,9,24574.55,27.005,1.0,0.0,1783433647637000000
52,1,5,24480.226570000003,38.269,1.0,0.0,1778076293221000000
825,1,11,24399.1962,22.93,1.0,0.0,1781620299699000000
1171,5,16,24320.269800000002,24.381,1.0,12.006,1782972855128000000
1596,1,8,24175.15851,26.348,0.0,0.0,1784621080152000000
1142,1,2,23897.7015,23.349,1.0,0.0,1782936567072000000
85,1,31,23757.505210000003,31.4,0.0,0.0,1778278427134000000
1716,1,4,23602.11968,28.216,1.0,0.0,1785237173629000000
1416,2,13,23447.59722,24.985,1.0,2.98,1783908268540000000
1828,2,2,23385.623359999998,30.03,1.0,3.0290000000000004,1785336328538000000
292,1,7,23234.49103,33.298,1.0,0.0,1779114954052000000
1966,2,9,23220.659610000002,26.913000000000004,1.0,2.9170000000000003,1785506042718000000
1897,1,1,23088.735999999997,32.428,1.0,0.0,1785359485569000000
888,1,3,23043.5693,20.502,1.0,0.0,1782193348548000000
1778,1,1,22936.923600000002,27.948,0.0,0.0,1785282349561000000
1160,1,13,22799.253500000003,22.797,1.0,0.0,1782950640106000000
75,1,6,22644.411809999998,31.4,0.0,0.0,1778253785113000000
700,2,3,22640.981940000005,24.956,1.0,3.093,1781018963630000000
