dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-14,106518,102419,6059,5381,11440,778,925.7918146082566,0,0.0,0.0,9884,-24425.50599438,19569.928600138606,-23499.714179771745,0.5,1,0.0,0.4855,1.189963771990048,0.2763496143958869,0.9884318766066839,0.9987146529562982,1.0,1.0,1.0
2026-05-15,130724,128031,6430,6256,12686,1039,1438.491696071212,0,0.0,0.0,10608,-30466.279047338292,23598.433661436593,-29027.78735126708,0.5,1,0.0,0.474,1.384496338855833,0.2781520692974013,0.9932627526467758,0.9990375360923965,0.9990375360923965,1.0,1.0
2026-05-16,23828,22241,1732,2185,3917,272,302.4012555528139,0,0.0,0.0,3373,-6574.551654924551,6836.9235938699385,-6272.150399371737,0.5,1,0.0,0.1375,1.1117693218853442,0.5441176470588235,0.9301470588235294,0.9705882352941176,0.9816176470588235,1.0,1.0
2026-05-17,34812,34458,2888,2145,5033,267,272.44337239973765,0,0.0,0.0,4499,-9625.006015144761,9222.881455700472,-9352.562642745024,0.5,1,0.0,0.478,1.0203871625458334,0.250936329588015,0.9250936329588015,0.9812734082397003,0.9887640449438202,1.0,1.0
2026-05-18,128155,127902,5658,5781,11439,902,1024.211766359889,0,0.0,0.0,9635,-28036.453266876408,20114.566012520405,-27012.24150051652,0.5,1,0.0,0.5395000000000001,1.1354897631484362,0.24279379157427938,0.9977827050997783,0.9988913525498891,1.0,1.0,1.0
2026-05-19,141052,143776,5200,5510,10710,791,1007.960464964979,1,-1.50066454167412,1.1293322708370601,9127,-24671.19949553009,19669.52088120833,-23664.739695106786,0.5000252054242073,1,0.0,0.549,1.274286302104905,0.23388116308470291,0.9873577749683944,0.9949431099873578,0.9962073324905183,0.9987357774968394,1.0
2026-05-20,118421,123682,4232,3935,8167,520,265.5457499217425,0,0.0,0.0,7127,-19123.777128495785,13383.715119656066,-18858.231378574044,0.5,1,0.0,0.508,0.5106649036956589,0.27692307692307694,0.9807692307692307,0.9923076923076923,0.9942307692307693,1.0,1.0
2026-05-21,123430,126129,4727,5606,10333,715,414.5379720879469,0,0.0,0.0,8903,-22073.059531205436,17252.746224473995,-21658.52155911749,0.5,1,0.0,0.594,0.5797733875355896,0.1972027972027972,0.9874125874125874,0.9986013986013986,0.9986013986013986,1.0,1.0
2026-05-22,89300,83334,3288,3811,7099,325,9.55078263344277,0,0.0,0.0,6449,-14972.514738742757,11289.470720428171,-14962.963956109314,0.5,1,0.0,0.621,0.029387023487516133,0.20615384615384616,0.9507692307692308,0.9907692307692307,0.9938461538461538,0.9938461538461538,1.0
2026-05-23,41060,39058,2302,1948,4250,196,96.8007599068742,0,0.0,0.0,3858,-9206.505921652062,8065.913276934337,-9109.705161745187,0.5,1,0.0,0.6065,0.4938814280962972,0.23979591836734693,0.9285714285714286,0.9693877551020408,0.9795918367346939,1.0,1.0
