wid,user,n_ord,n_fill,n_full,n_part,n_cxl,v_ord_c,v_fill_c,n_fillev,qplace_c,share_q0,med_ttf_s,med_fill_c,fill_completeness,adv1,adv60,adv10_med,adv10_placebo,n_adv_bad,fill_rate,fill_prob,fill_to_order,fill_to_cancel,maker_share,vol_exec_quoted,avg_ttf_s,partial_freq,fill_size,queue_at_fill,adverse_10s
23850,0x3ca27e21d927abb5b764c7f84c424897b8297e1f,11525.0,3425.0,3375.0,50.0,8100.0,2153.39,696.409,3425.0,19.409752971800433,0.7547445255474453,12.904974606000001,0.28700000000000003,0.9925092458651921,1.348514300939973,2.4943673914372644,1.1258783130250165,-0.42088676362463506,0,0.29718004338394793,0.32584204440440423,0.2928416485900217,0.4228395061728395,0.000030048832021401473,0.3234012417629877,76.54620534868846,0.014598540145985401,0.20333109489051093,0.0,1.969738713335028
13257,0xb30bda7a381f676e7ccbc22c22c9e594a10d2ead,66377.0,45.0,41.0,4.0,66328.0,1308020.994,690.193,45.0,18.49628814197689,0.6888888888888889,11.762810457,18.147000000000002,0.9437775276934921,9.057285259576112,-9.852447605997936,5.555812769108838,2.385410041543041,0,0.0006779456739533272,0.0005590957663176467,0.000617683836268587,0.0006784465082619708,0.000029780622478094263,0.000527662020079167,91.80074282808889,0.08888888888888889,15.337622222222222,0.0,4.995528517629408
12076,0x2e4e6bb9e8fe2834aaee1869269e9f8e9505360b,28399.0,1945.0,1560.0,385.0,26454.0,10135.608,672.731,1945.0,36.36269020035917,0.8431876606683805,0.9748967220000001,0.324,0.8728060843210927,0.17268457082589567,0.677234186300494,0.49125564943952177,0.20995673066209802,0,0.0684883270537695,0.07604556135162291,0.05493151167294623,0.07352385272548576,0.000029027167676738002,0.06637302863330942,1.9565408738539847,0.19794344473007713,0.3458771208226221,0.0,0.4056236503086918
11711,0x872fabfd6a78a76bf0219086c011b1e5d4c95312,63656.0,71.0,69.0,2.0,63581.0,549600.828,658.376,71.0,19.32873729106447,0.8591549295774648,5.153063739,8.741,0.9924852380528852,3.4437438034423065,3.5504142635834177,3.111053289514362,0.42813460194450453,0,0.0011153701143647103,0.0012069869006820346,0.0010839512379037326,0.001116685802362341,0.00002840777449878192,0.0011979166814501234,68.32808796825353,0.028169014084507043,9.272901408450704,0.0,10.257793091035591
10205,0x6b3008d6e60617f44b1135ffc669fc87caec75b2,316242.0,1809.0,1454.0,355.0,314432.0,233228.592,636.984,1809.0,7.9345286963780906,0.9198452183526811,1.150493601,0.329,0.8897928281176009,0.16568889949323587,-0.8694552747136342,0.2295446980911271,0.16867966842491863,0,0.0057203028060788886,0.0030694306982739063,0.004597744765084967,0.005753231223285162,0.0000274847470614544,0.0027311574217281217,2.3374315700685466,0.19624101713653952,0.35211940298507466,0.0,0.3576308243505479
766,0x6ecbb68c07bd4be7adb7f0365e9263e382aeca2d,79506.0,706.0,591.0,115.0,78797.0,98102.88100000001,623.941,706.0,8.696267023872412,0.9220963172804533,2.437627201,0.9305000000000001,0.9032857229719752,1.2877232704989476,2.3758371590804543,0.886613665442252,0.0473289841180687,0,0.008879832968580987,0.007041036847837323,0.007433401252735642,0.008959731969491224,0.00002692196439199559,0.006360068059571054,75.0248919903612,0.16288951841359772,0.8837691218130312,0.0,1.7033767086079874
11844,0xd3a3fbb529f427147f118deb7ef95ba7b3fa3115,14054.0,3267.0,2989.0,278.0,10787.0,2781.184,621.634,3267.0,11.06949637113989,0.8821548821548821,0.0,0.1,0.9379445411776777,0.1982286739565498,-0.43061445823068206,-0.42497131443588904,0.02097868170779389,0,0.23246050946349794,0.23830210442746685,0.21267966415255443,0.30286455919161953,0.000026822421371337655,0.22351415799889543,0.2533817517385981,0.08509335782063054,0.19027670645852465,0.0,-0.1661888445740122
42,0xcfea17596c15e0f4fe3ba9cab1fcbe804bbbdbbf,80079.0,830.0,718.0,112.0,79245.0,89645.311,611.164,830.0,5.215339327414179,0.9397590361445783,0.870919472,0.5854999999999999,0.888543194727744,1.5333084196332307,2.8035676628346353,1.5153579605330747,-0.035982624326405525,0,0.010364764794765169,0.007672760486044831,0.008966145930893243,0.010473846930405704,0.000026370659157948578,0.006817579114651072,70.08782414902169,0.13493975903614458,0.7363421686746988,0.0,2.851088891441706
427,0x9a3664a58b6a6579319c44bdd06a381ec8b47b6a,87018.0,855.0,749.0,106.0,86161.0,103758.705,603.665,855.0,6.662387816313866,0.9298245614035088,1.419504447,0.428,0.900021320276776,0.9999278768818209,3.836725405608431,1.4639859457358089,0.05123951296863645,0,0.009825553333793008,0.00646425762542044,0.00860741455790756,0.009923283155952228,0.0000260470904054935,0.005817969682640122,103.56872763587603,0.1239766081871345,0.7060409356725146,0.0,1.7615659124885237
640,0xbd7b48a5f74fec74643899795b6964a8fac7e69a,139329.0,49.0,48.0,1.0,139264.0,1392049.352,599.618,49.0,5.571039482089156,0.8571428571428571,0.0,11.584,0.9836705098003189,7.592296779116184,10.209428121477844,7.440695882224359,-0.2618243676723444,0,0.00035168557873809474,0.00043789539438685075,0.00034450832202915404,0.0003518497242647059,0.000025872469423871186,0.00043074478583572515,13.109467782510205,0.02040816326530612,12.237102040816328,0.0,7.6419722410198565
13403,0x41b2afeacac13c39511500f3a0a507f7a8b32cce,28810.0,85.0,79.0,6.0,28723.0,225785.423,598.681,85.0,26.843053453661923,0.788235294117647,8.954677921,7.0760000000000005,0.9751886667980643,4.796490041129718,1.2759654915945735,4.013020020509369,0.17609126890973478,0,0.0029503644567858383,0.00271901078396899,0.002742103436306838,0.0029593009086794557,0.000025832039510409338,0.0026515485014282788,61.34109380911765,0.07058823529411765,7.043305882352942,0.0,6.979641006422028
13332,0x621a5180165a0e81a60c44f6a53e5e6001fedf3b,18488.0,4875.0,4685.0,190.0,13611.0,4162.12,584.039,4875.0,8.679605257464303,0.746051282051282,0.600636307,0.057,0.9700274878131825,0.7167050045909806,-0.12581404417444936,0.3575280510546805,0.13161851042205397,0,0.2636845521419299,0.1446582510835824,0.25340761575075726,0.35816618911174786,0.000025200262783719473,0.14032247989005603,19.807318188909132,0.038974358974358976,0.1198028717948718,0.0,0.7162978229512037
255,0xa811c97b3006406f302dc0c2c2d50a22869ec80b,64911.0,571.0,507.0,64.0,64337.0,89245.922,582.783,571.0,8.680037312628059,0.9316987740805605,1.8861906210000001,0.998,0.93175659147485,1.001522570602701,2.752263324718274,0.5248027616282772,-0.056275705234770435,0,0.008796660042211643,0.007008353838285183,0.007810694643434857,0.00887514183129459,0.000025146068577414156,0.006530079884210283,155.66721137581612,0.11208406304728546,1.0206357267950963,0.0,1.1219450253062435
15888,0x3137dab4798758869ec683b221a0a8067ae30fae,121488.0,641.0,589.0,52.0,120846.0,112208.474,554.365,641.0,44.780570039839326,0.7301092043681747,6.420897844000001,0.897,0.9520673221415997,3.0743094231973083,2.6239174363512663,0.9308820107042964,-0.48215056176469034,0,0.005276241274858423,0.00518922483519382,0.004848215461609377,0.005304271552223491,0.000023919881511502908,0.004940491392833664,76.1069732690858,0.0811232449297972,0.8648439937597504,0.0,3.261496664509055
13520,0x2ca478d068ab83150596400a324dd08098d132ac,55408.0,41.0,38.0,3.0,55364.0,866450.3470000001,549.962,41.0,18.85508735200693,0.7073170731707317,4.271775754,13.902000000000001,0.9512543587756683,6.783624230725914,14.534828516287554,1.3057316177471183,0.9348219433041006,0,0.0007399653479641929,0.0006672557775546715,0.0006858215420155934,0.0007405534282205043,0.0000237298997516603,0.0006347299668171291,48.32832732558537,0.07317073170731707,13.41370731707317,0.0,10.465930903174826
10573,0xbb3d566db8cedfc90c37fa20bd32e44e5d42a779,84598.0,3113.0,2959.0,154.0,81485.0,21948.192,532.4300000000001,3113.0,14.720238906357125,0.8763250883392226,3.642027375,0.245,0.9573186519181255,1.41004683574978,2.017661818699364,1.3251468704456113,-0.004989615080134076,0,0.03679756022601007,0.025340037120141833,0.0349771862218965,0.038203350309872985,0.000022973424572564093,0.024258490175409438,8.40369943252586,0.04946996466431095,0.1710343719884356,0.0,2.2275027048019194
