k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
9,1,3.0,4059856.0,100026.0,968887.0608189056,-760319.7399787302,199765.03284017547,138760.505
9,1,5.0,4059856.0,154777.0,1449064.3900849465,-1287448.4878050429,147995.52627990357,354012.049
9,1,10.0,4059856.0,270357.0,2418498.2174516474,-2523285.2031171178,-128578.40166546921,1204575.2790000003
9,1,30.0,4059856.0,602280.0,5058204.045420301,-6499160.683923912,-1493957.2785036121,7587911.823000002
9,1,60.0,4059856.0,910589.0,7420148.7300005015,-10706554.403947704,-3366537.5059472015,21137522.493000004
9,-1,0.1,4059856.0,8737.0,103593.86557438769,48272.96992932161,54552.03964506608,386.4030000000001
9,-1,0.5,4059856.0,21630.0,240211.52950751022,124081.69092131715,114226.39858619307,4247.908999999999
9,-1,1.0,4059856.0,37882.0,399507.594973625,231172.00653488093,165001.97243874395,16358.604999999998
9,-1,3.0,4059856.0,104602.0,1037348.5646722682,716422.4992417791,311721.0894304892,142445.39500000002
9,-1,5.0,4059856.0,163269.0,1570549.6556355755,1201282.5907194603,354899.3929161153,370299.41800000006
9,-1,10.0,4059856.0,290010.0,2684390.2164047323,2349519.9099192377,309349.426485493,1297351.657
9,-1,30.0,4059856.0,664581.0,5911578.393956886,5984466.46359762,-131371.19764073618,8479834.919000002
9,-1,60.0,4059856.0,1007062.0,8743071.933711864,9651473.17249237,-997022.6947805044,23485098.514
10,1,0.1,4059856.0,6043.0,69982.53751002438,-39141.42181538706,30309.3316946373,279.109
10,1,0.5,4059856.0,19023.0,211964.211150023,-117852.92695886505,92437.26019115797,4158.099
10,1,1.0,4059856.0,35264.0,376777.50559645524,-241465.71200474462,132208.56159171066,16226.187000000002
10,1,3.0,4059856.0,96328.0,959393.8186774864,-751701.0560607766,199215.89861670934,134092.795
10,1,5.0,4059856.0,149526.0,1438519.4342773843,-1272359.4152407032,153001.7310366816,343348.6440000001
10,1,10.0,4059856.0,262276.0,2406662.0598081974,-2501066.473608607,-117484.7018004096,1173289.2870000002
10,1,30.0,4059856.0,588299.0,5055874.505218662,-6456444.157952278,-1452339.964733613,7447073.219
10,1,60.0,4059856.0,893242.0,7433268.935206466,-10662936.634317713,-3308272.9951112503,20847903.357
10,-1,0.1,4059856.0,8323.0,101627.66452640612,47620.69257937031,53274.54794703577,369.2369999999999
10,-1,0.5,4059856.0,20624.0,235925.3662825011,122139.31512254066,111971.13915996047,4053.611000000001
10,-1,1.0,4059856.0,36287.0,394172.7634321448,228197.6344948997,162781.87293724503,15729.719000000003
10,-1,3.0,4059856.0,100817.0,1028166.9325342006,707625.500132971,311669.5364012294,137832.172
10,-1,5.0,4059856.0,157780.0,1558564.4208611308,1188351.1043994043,356328.67646172567,359156.4829999999
10,-1,10.0,4059856.0,281374.0,2668778.61429341,2326115.8336557876,317901.86863762216,1263428.246
10,-1,30.0,4059856.0,648209.0,5885966.824272178,5946670.475273462,-117746.0430012838,8302975.108000001
10,-1,60.0,4059856.0,986623.0,8732764.992797926,9629748.161407676,-983805.9926097522,23129229.352
