col,family,h,nday,mean,med,pos,worst,best
ofi_1s__dev,63 平均回帰,1s,98,0.037501637831196574,0.037116504610018565,81,-0.05003882325783968,0.14977530774696113
ofi_1s__dev,63 平均回帰,10s,98,0.03256282465532502,0.033049743864542055,83,-0.059435449126406734,0.11268196404187186
ofi_norm_60s,10 注文フローの偏り OFI,1s,98,0.01880505557404943,0.014959986245345605,77,-0.03330354404948471,0.10392950144773798
ofi_norm_60s,10 注文フローの偏り OFI,10s,98,0.03949135146785886,0.03599214573984287,81,-0.060989087056164244,0.18996185171871105
ofi_10s,10 注文フローの偏り OFI,1s,98,0.033314033832367855,0.032672250672262974,84,-0.04127926986000507,0.11833754948358133
ofi_10s,10 注文フローの偏り OFI,10s,98,0.03764995159845939,0.037656010362834086,82,-0.06707466506730334,0.1312801341910991
ofi_norm_30s,10 注文フローの偏り OFI,1s,98,0.022741817717614986,0.02216409816802093,81,-0.03248215658284402,0.08623431347332808
ofi_norm_30s,10 注文フローの偏り OFI,10s,98,0.037257703116602536,0.03721981689531499,83,-0.04254660445301372,0.1626715525949333
ofi_10s__z,60 衝撃(z 得点),1s,98,0.032022158425575487,0.031126403870018686,84,-0.044787702088180094,0.12365852042065138
ofi_10s__z,60 衝撃(z 得点),10s,98,0.03307568480697681,0.025175643936681175,83,-0.05180077107767166,0.1278450443770711
ret_5s,1.2 中値,1s,98,0.04548277583676918,0.04313659343893622,83,-0.04449859485626175,0.15556620158095957
ret_5s,1.2 中値,10s,98,0.038812139134262374,0.033517305122392496,76,-0.051321648552291106,0.13073449667180026
