feat,x_form,y_kind,day_type,hor,sample,n,beta,r,r2,t
churn_bid|動いた窓,生,絶対値,閉場日,前向き|2m,sub,8758.0,6.757594621457938e-7,0.07989885283643011,0.006383826684577516,7.500394286838746
churn_imb|動いた窓,生,符号つき,全日,後ろ向き(帰無対照)|2m,sub,44962.0,0.00013444012283423036,0.04212355504864783,0.001774393889936464,8.93971790883337
churn_deep|全窓,生,符号つき,全日,前向き|100ms,sub,84671655.0,-6.201436247205626e-11,-0.0001339182028904575,1.7934085065409735e-8,-1.2322778318073888
churn_cnt|動いた窓,log1p,符号つき,閉場日,前向き|30s,full,11136719.0,8.59779621120534e-6,0.004028668111935394,0.00001623016675612509,13.44446754946401
churn_cnt|動いた窓,log1p,絶対値,全日,後ろ向き(帰無対照)|1s,full,55300762.0,0.00005875191606332232,0.07322055559356448,0.005361249761430267,545.9663576984555
churn_total|全窓,生,絶対値,全日,前向き|2s,sub,4233435.0,9.562063831560359e-8,0.18568376230016587,0.034478459581944496,388.8116676705984
churn_total|全窓,log1p,絶対値,閉場日,前向き|1s,sub,2678336.0,7.940351786012003e-6,0.009526363697480094,0.0000907516052966666,15.591188870322842
churn_deep|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|200ms,sub,13391878.0,4.236695983825632e-6,0.011429475826729192,0.00013063291767378694,41.828798652131105
churn_bid|全窓,生,符号つき,立会日,後ろ向き(帰無対照)|5s,sub,1157653.0,2.4563945891335004e-8,0.019720988735579776,0.0003889173967088644,21.222765697767482
churn_total|全窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|500ms,full,26783677.0,9.022352935183907e-6,0.015468558535056676,0.00023927630315247474,80.06392793003356
churn_ask|動いた窓,生,符号つき,立会日,前向き|5s,sub,880640.0,7.67528875899548e-9,0.006411624045096969,0.00004110892289566562,6.016940080362759
churn_top|全窓,log1p,符号つき,全日,後ろ向き(帰無対照)|5s,full,84666853.0,-1.1262401332401287e-6,-0.0016968535825918074,2.8793120807546516e-6,-15.613551449015658
churn_total|動いた窓,log1p,絶対値,閉場日,後ろ向き(帰無対照)|100ms,sub,11141748.0,3.378333315868464e-6,0.012553462111186351,0.0001575894109769913,41.9058221710772
churn_top|全窓,生,符号つき,立会日,前向き|10s,full,57881221.0,4.546096866204266e-10,0.00004470594258617495,1.998621302518371e-9,0.34012150408396247
churn_total|動いた窓,log1p,符号つき,閉場日,前向き|2s,sub,552515.0,2.3578077090196893e-7,0.002892059329195463,8.364007163586513e-6,2.1497119207553474
churn_ask|動いた窓,生,符号つき,閉場日,後ろ向き(帰無対照)|5m,full,11089668.0,-4.426439959688082e-8,-0.002233331456754427,4.9877693957288515e-6,-7.437269160922345
churn_ask|動いた窓,生,絶対値,全日,前向き|200ms,full,55301325.0,4.0258724601600963e-8,0.038741342158839766,0.0015008915922682955,288.31589260297716
churn_top|動いた窓,生,符号つき,立会日,後ろ向き(帰無対照)|1m,full,44126102.0,-2.65702699157079e-8,-0.001122283587732344,1.259520451293382e-6,-7.4550516689816995
churn_total|全窓,log1p,絶対値,立会日,前向き|30s,sub,192853.0,0.00007553848767458411,0.21682249443928395,0.04701199409487332,97.53748804288085
churn_cnt|全窓,log1p,絶対値,立会日,後ろ向き(帰無対照)|30s,full,57867821.0,0.00016100137060927948,0.26267155891763966,0.06899634786422304,2070.884685520166
churn_bid|動いた窓,log1p,符号つき,全日,後ろ向き(帰無対照)|500ms,sub,11180856.0,1.751592012834756e-6,0.00779371701885915,0.00006074202497005475,26.061254155696354
churn_deep|動いた窓,生,絶対値,立会日,後ろ向き(帰無対照)|100ms,sub,44159685.0,2.4962352631636166e-8,0.21491508401549717,0.046188493337388205,1462.3407852294977
churn_top|動いた窓,生,絶対値,閉場日,前向き|2m,sub,8758.0,4.980054894714909e-6,0.05508538821487109,0.003034399994783059,5.162370902668111
churn_cnt|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|200ms,full,57887787.0,-7.819086937503293e-8,-0.001041687686210168,1.0851132356018934e-6,-7.925583249479083
churn_bid|全窓,生,符号つき,閉場日,前向き|100ms,full,26783801.0,-2.420854279968851e-10,-0.000037224027028410564,1.3856281882118401e-9,-0.19264575503556802
churn_cnt|全窓,log1p,符号つき,立会日,後ろ向き(帰無対照)|5m,sub,19189.0,-0.000013009550376699336,-0.004889213544385039,0.000023904409082598112,-0.6772480056672617
churn_total|動いた窓,生,符号つき,立会日,前向き|1s,sub,4421947.0,-2.020076399368725e-10,-0.0005975186553408642,3.570285434803544e-7,-1.2564876228451392
churn_total|全窓,生,符号つき,閉場日,前向き|100ms,sub,26783801.0,5.754050888343844e-10,0.0001604333859915817,2.573887134072384e-8,0.83029198130585
churn_bid|全窓,生,符号つき,閉場日,後ろ向き(帰無対照)|2m,full,26746632.0,1.9499777555077189e-7,0.008055516916561166,0.00006489135279300312,41.66218474488977
churn_top|動いた窓,生,絶対値,閉場日,前向き|500ms,full,11141654.0,5.303497944987024e-6,0.06077795520969352,0.003693959839471512,203.24716562880135
churn_imb|全窓,生,絶対値,閉場日,前向き|30s,sub,89224.0,-3.453504411604084e-6,-0.004947530485172225,0.000024478057901708508,-1.4778480108032543
