bucket,visit,dwell_h,vol_usd,liq_usd,n_liq
660.0,2,0.6262072222222222,606040.90169,0.0,0
660.0,3,1.3141122222222223,5713273.25066,0.0,0
660.0,4,0.7886125,3511079.90482,4719.122299999999,4
660.0,5,1.78254,3083295.64284,0.0,0
660.0,6,0.5270519444444445,696631.08138,0.0,0
660.0,7,0.15189666666666665,112070.63295,0.0,0
660.0,8,0.2285463888888889,17052.00197,0.0,0
660.0,9,2.9936252777777774,7437573.79914,0.0,0
660.0,10,1.1921716666666666,7798800.9046,0.0,0
660.0,11,5.7451147222222225,9411215.36452,0.0,0
660.0,12,0.9519591666666667,12149698.33873,0.0,0
660.0,13,0.08825694444444443,419713.81243000005,0.0,0
660.0,14,0.009690833333333334,17242.75099,0.0,0
660.0,15,2.8422919444444443,29436021.88791,42601.21130000001,7
670.0,1,10.719035555555555,12419462.044070002,129552.08142999999,44
670.0,2,0.1995691666666667,339900.22879,0.0,0
670.0,3,0.0,33917.48548,0.0,0
670.0,4,0.7379580555555556,4878766.03375,0.0,0
670.0,5,0.5958872222222222,6209525.230280001,0.0,0
670.0,6,0.6996011111111111,3245409.3569600005,42.521370000000005,2
670.0,7,1.3142069444444446,18284275.77684,0.0,0
670.0,8,5.646260833333334,12285900.25435,0.0,0
670.0,9,1.9119036111111112,6342833.14577,0.0,0
670.0,10,0.9100588888888888,18112961.10833,0.0,0
680.0,1,0.09283638888888887,662548.13979,490760.0033200001,63
680.0,2,0.10657416666666666,276005.17088999995,0.0,0
680.0,3,1.5031986111111109,2963680.8143700003,0.0,0
680.0,4,0.43598361111111117,2081701.9421199998,0.0,0
680.0,5,0.06712694444444445,501779.19183999987,0.0,0
680.0,6,0.03786194444444444,899382.68582,0.0,0
680.0,7,0.013953055555555555,2145378.02654,366795.50351,66
680.0,8,1.322396388888889,18539582.31484,0.0,0
680.0,9,2.0545755555555556,6257636.631870001,0.0,0
680.0,10,0.7258063888888889,2462005.59245,0.0,0
680.0,11,0.002828055555555556,1702.3852499999998,0.0,0
680.0,12,1.8593480555555557,6942774.570490001,0.0,0
680.0,13,0.8301122222222223,26520381.17809,0.0,0
690.0,1,0.27713916666666666,4219683.923040001,0.0,0
690.0,2,0.00005666666666666667,24003.926059999998,0.0,0
690.0,3,0.9785633333333335,17369652.91825,691436.0835800001,195
690.0,4,2.3949594444444444,7054334.27266,0.0,0
690.0,5,0.09822305555555554,6658590.76094,0.0,0
690.0,6,0.6567002777777778,8260483.886419999,0.0,0
690.0,7,0.602035,13412757.05706,0.0,0
690.0,8,1.1377016666666666,3517601.98734,0.0,0
700.0,1,0.9140116666666667,6556439.24507,0.0,0
700.0,2,0.05119055555555556,757857.57949,10807.748599999999,8
700.0,3,0.9873119444444444,1413530.4835299999,0.0,0
700.0,4,0.6073880555555556,734621.03737,8482.57492,8
700.0,5,1.015838888888889,6353246.693569999,232099.51631000004,102
700.0,6,0.9899594444444445,14734387.02061,588226.62941,159
700.0,7,0.003723888888888889,164242.67081999997,0.0,0
700.0,8,0.2558486111111111,3591064.1599899996,345035.22667,56
700.0,9,9.3367225,36775797.2755,0.0,0
700.0,10,0.0736038888888889,3443507.27775,91491.0279,27
710.0,1,1.0653294444444446,8817259.31185,49943.97613999999,25
710.0,2,0.6829536111111111,11302701.97484,195204.64028999998,44
710.0,3,33.275975833333334,13104231.71029,711.5180600000001,7
710.0,4,0.9696699999999999,2957117.4990600003,0.0,0
710.0,5,0.3416436111111111,5369343.156990001,14639.98233,14
710.0,6,1.61737,21740440.67887,9580.004230000002,10
710.0,7,0.004171666666666667,14338.34555,0.0,0
710.0,8,1.592323611111111,4548274.47023,0.0,0
710.0,9,0.12063861111111113,963101.29665,0.0,0
710.0,10,1.2388358333333334,11859463.04479,0.0,0
710.0,11,0.9767461111111111,9454938.15219,0.0,0
710.0,12,0.013516944444444444,845612.2869200001,0.0,0
710.0,13,0.019622499999999998,89829.68969000001,0.0,0
710.0,14,0.9240911111111111,35557425.51572,554141.90401,92
710.0,15,0.022261944444444445,11214579.51509,29408.661889999996,13
710.0,16,0.2944430555555555,4799537.35795,693.3389999999999,1
720.0,1,0.6562886111111111,5719715.47284,23514.78921,8
720.0,2,0.2106127777777778,387797.20027,0.0,0
720.0,3,0.660111388888889,13490327.01419,162199.24649999998,72
720.0,4,0.19120694444444444,5032660.22637,115958.43076000002,58
720.0,5,3.359523333333333,7436812.45194,0.0,0
720.0,6,0.0,33916.62649999999,0.0,0
720.0,7,9.340881944444446,4236496.46471,0.0,0
720.0,8,1.018592777777778,1356536.2197099999,0.0,0
720.0,9,4.210090277777778,7911026.66656,0.0,0
720.0,10,0.10062722222222222,255206.66855,0.0,0
720.0,11,0.1466733333333333,1573596.7493099999,0.0,0
720.0,12,0.80242,14809306.352729999,0.0,0
720.0,13,5.345373333333334,25580651.04698,0.0,0
720.0,14,7.6636525,31463528.3076,0.0,0
720.0,15,0.10976194444444445,667519.57179,0.0,0
720.0,16,1.616538611111111,51867727.21936,498118.94312,165
720.0,17,4.173259166666667,41638045.20533,1379.64053,2
730.0,1,2.7363161111111114,16244487.93857,0.0,0
730.0,2,1.2001605555555555,21004467.36049,68987.31636,71
730.0,3,0.4736302777777778,3518326.0012299996,465611.43022999994,144
730.0,4,4.770782777777778,42781409.66447,35695.8044,20
730.0,5,3.380219166666667,2112561.1394,0.0,0
730.0,6,1.1610305555555556,5076638.27846,0.0,0
730.0,7,1.0984536111111112,2121290.00636,0.0,0
730.0,8,2.298949722222222,9468717.829260001,0.0,0
730.0,9,0.6998555555555556,10402508.59773,0.0,0
730.0,10,0.1009261111111111,652599.72758,0.0,0
730.0,11,1.2239163888888889,5297744.40432,0.0,0
730.0,12,0.41805083333333337,3192656.40295,0.0,0
730.0,13,2.3482986111111113,16171262.688949998,0.0,0
730.0,14,0.5465816666666666,627406.1292699999,0.0,0
730.0,15,0.8333325,217508.74455,0.0,0
730.0,16,0.3050147222222222,20790731.58145,940841.91841,248
730.0,17,2.040858611111111,48929704.76099,0.0,0
730.0,18,1.1843244444444445,14767704.00571,0.0,0
730.0,19,0.4561791666666667,3194498.8401,0.0,0
730.0,20,1.3751527777777777,18159523.890770003,0.0,0
740.0,1,0.04988583333333333,528961.22264,0.0,0
740.0,2,2.5826619444444443,6456336.83014,452.20835999999997,2
740.0,3,0.03744777777777778,4394522.041540001,0.0,0
740.0,4,0.4551469444444444,6583487.840879999,128915.91818000001,80
740.0,5,1.042396388888889,6434746.26959,6456.9272900000005,4
740.0,6,0.20862027777777778,1736353.2367,0.0,0
