hd,qd,n,n_fill,sum_pnl,mean_p,mean_q,mean_spread,mean_obi,mean_ofi,p_fill,pnl_per_fill,ev_pooled,ev_daily,se_daily,n_days,ev_h1,ev_h2
1,3,291964,1404.0,-1038.1929732020944,0.004233577692460303,-1.2961606117980975,1.950316693644717,0.29247566566812255,21.750533433372667,0.004808812045320656,-0.7394536846168763,-0.0035558937855423764,-0.0026364863764650006,0.0003859485496080754,39,-0.003696488467441706,-0.003381389400059185
1,4,255808,1278.0,-662.9715536404401,0.004440938074984589,-1.0852279336036097,2.319592990239752,0.267345779387209,20.480826612857538,0.004995934450838129,-0.5187570842256964,-0.002591676388699494,-0.0029234420785272533,0.0011277392345759292,39,-0.0015365172627856657,-0.003911219417221235
1,5,213420,1206.0,-913.8751438297331,0.004307376117004334,-0.8832476206642312,2.751458680717216,0.2309093449697354,14.757359654115241,0.005650829350576328,-0.7577737511025979,-0.004282050153826882,-0.005415697302537773,0.0015058013512804919,38,-0.002547568788136469,-0.008235712447524402
1,6,146579,972.0,-586.3498932728544,0.004156345911407518,-0.6959066417421652,3.1406992589134024,0.19185670493653023,10.044047594190609,0.006631236398119785,-0.6032406309391506,-0.00400023122870844,-0.008782833127167263,0.0032240603828236837,37,-0.0018393209486933335,-0.010420845411828914
1,7,94082,819.0,-692.7393531454727,0.004011006537747843,-0.48449237537907386,3.6599755450283022,0.13746913252049792,4.422238175094643,0.008705172083926788,-0.8458355960262182,-0.00736314441811901,-0.012233625098397101,0.006711237830435044,37,-0.004133954595817958,-0.01824096782305271
1,8,51462,785.0,-1433.3134293854237,0.004050991384804239,-0.22185213502975504,4.268041450880075,0.10284688567529587,-0.8151908402363944,0.015253973805915044,-1.82587698010882,-0.027851879627403202,-0.043203503850734355,0.017318123094460548,36,-0.012964111834593967,-0.07031099103770391
1,9,28191,946.0,-2610.6034541595727,0.00413162995739163,0.5187463040807014,5.907156076874403,0.06914131352509746,-4.36769964080574,0.03355680891064524,-2.759623101648597,-0.0926041450874241,-0.13182368474734388,0.025831125480980335,39,-0.0431185232894245,-0.18333856189706413
2,0,824670,11381.0,-21102.340117612854,0.006739474437323859,-2.5852067857781633,0.2844035562478417,0.4400841291621344,39.893681612673014,0.013800671783865062,-1.8541727543812365,-0.025588829613800494,-0.022866895624182117,0.0026621888685666208,39,-0.025386033944649854,-0.025679355791927812
2,1,539665,3911.0,-4303.959733986296,0.007133784795538101,-1.8319097071284751,0.9915872751690946,0.3421288453745893,30.84041725692987,0.007247088471551796,-1.100475513675862,-0.00797524340838538,-0.006397924105498768,0.0007707799118819871,39,-0.01082323239842219,-0.0063645668467655495
2,2,607388,3099.0,-2802.774023177102,0.006855684322392421,-1.5455085489067026,1.3227786417787948,0.3067939729669307,25.33422781262226,0.005102175215842262,-0.9044123985727984,-0.004614470524898585,-0.003855144903826179,0.0007348350224488026,39,-0.006946540342615757,-0.0034747631133203783
2,3,377632,2217.0,-1765.5295821418986,0.006467312996006139,-1.3038965027842135,1.686478029419416,0.2544162026962236,15.599041467591226,0.0058707948478942465,-0.7963597573937297,-0.0046752647607774195,-0.003983266850161649,0.0006255807066193596,39,-0.004622079874150501,-0.004717932628163933
