metric,unit,side,day_type,hor,hor_ms,bin_i,n_up,n_dn,n,p_up,base,diff,lo,hi
kappa_depth,1/s,売り,立会日,3s,3000,2,244041,260408,558184,0.4837773491472874,0.4896532322058681,-0.0058758830585806665,-0.007576509563673159,-0.003695800196222144
kappa_depth,1/s,売り,立会日,3s,3000,3,287805,300265,642293,0.489406023092489,0.4896532322058681,-0.0002472091133791099,-0.001967841391997534,0.001505433669781004
kappa_depth,1/s,売り,立会日,3s,3000,4,145772,148664,318532,0.495088915757584,0.4896532322058681,0.00543568355171592,0.0030276195705625994,0.008053761334330528
kappa_depth,1/s,売り,立会日,3s,3000,5,107718,110818,236891,0.49290734707325107,0.4896532322058681,0.0032541148673829734,0.0008484609893091161,0.005631297644983894
kappa_depth,1/s,売り,立会日,3s,3000,6,7489,7034,15570,0.5156648075466501,0.4896532322058681,0.026011575340782023,0.017394825625944056,0.03384717361486107
kappa_depth,1/s,売り,立会日,5s,5000,0,194118,191830,412992,0.5029641298827822,0.48819557782213757,0.01476855206064459,0.008177424830338315,0.0212474803836865
kappa_depth,1/s,売り,立会日,5s,5000,1,186203,215891,426745,0.4630832591384104,0.48819557782213757,-0.025112318683727153,-0.028674155088685635,-0.02074337528242603
kappa_depth,1/s,売り,立会日,5s,5000,2,254427,268468,558174,0.4865737863242142,0.48819557782213757,-0.0016217914979233528,-0.0038681195027904015,0.0006835588592886437
kappa_depth,1/s,売り,立会日,5s,5000,3,297964,309031,642286,0.4908837799322894,0.48819557782213757,0.002688202110151805,0.0002974041668272976,0.0049041757683551705
kappa_depth,1/s,売り,立会日,5s,5000,4,149887,152964,318526,0.49491994413094226,0.48819557782213757,0.006724366308804686,0.003972310447841907,0.00929970003883184
kappa_depth,1/s,売り,立会日,5s,5000,5,111059,113974,236889,0.49352317215697256,0.48819557782213757,0.005327594334834984,0.003014314971107121,0.007580267779053049
kappa_depth,1/s,売り,立会日,5s,5000,6,7639,7233,15570,0.5136498117267349,0.48819557782213757,0.02545423390459728,0.017911056194390627,0.03410251853380687
kappa_depth,1/s,売り,立会日,10s,10000,0,197321,198888,412974,0.4980225083226277,0.490219943244034,0.007802565078593671,0.0035486502483236637,0.012717059733731998
kappa_depth,1/s,売り,立会日,10s,10000,1,195308,216788,426728,0.47393811150799814,0.490219943244034,-0.016281831736035868,-0.01992069812273705,-0.012679898062705806
kappa_depth,1/s,売り,立会日,10s,10000,2,262778,275134,558156,0.4885148500126415,0.490219943244034,-0.0017050932313925071,-0.004378960883805849,0.001094373715881346
kappa_depth,1/s,売り,立会日,10s,10000,3,306358,315300,642266,0.4928079426308356,0.490219943244034,0.0025879993868015982,-0.0000692236318513714,0.00559556303161554
kappa_depth,1/s,売り,立会日,10s,10000,4,153250,156041,318522,0.4954880678713574,0.490219943244034,0.005268124627323401,0.0017820076710528296,0.00893799394713638
kappa_depth,1/s,売り,立会日,10s,10000,5,113757,116286,236881,0.49450320157535765,0.490219943244034,0.004283258331323647,0.0014148803357529576,0.007128447621820317
kappa_depth,1/s,売り,立会日,10s,10000,6,7748,7421,15570,0.5107785615399829,0.490219943244034,0.020558618295948905,0.01156896673992768,0.028745781659109525
kappa_depth,1/s,売り,立会日,30s,30000,0,200876,204291,412898,0.4957856883704744,0.49325230835936884,0.002533380011105535,-0.0012115920488668093,0.005751120012835289
kappa_depth,1/s,売り,立会日,30s,30000,1,203205,216532,426662,0.48412458277445164,0.49325230835936884,-0.009127725584917201,-0.012662234694055086,-0.006103116926128713
kappa_depth,1/s,売り,立会日,30s,30000,2,270756,278059,558063,0.4933465739821251,0.49325230835936884,0.00009426562275627326,-0.0029588439885004925,0.0035572888223406444
kappa_depth,1/s,売り,立会日,30s,30000,3,313242,319399,642179,0.4951338911009561,0.49325230835936884,0.0018815827415872843,-0.0016094346850119817,0.005393461649623861
kappa_depth,1/s,売り,立会日,30s,30000,4,155779,158245,318480,0.49607354851858454,0.49325230835936884,0.002821240159215699,-0.0018651618864274119,0.007665603275666152
kappa_depth,1/s,売り,立会日,30s,30000,5,115734,117756,236852,0.4956700501092124,0.49325230835936884,0.0024177417498435494,-0.0016485617972848462,0.006085965041336689
kappa_depth,1/s,売り,立会日,30s,30000,6,7696,7679,15568,0.5005528455284552,0.49325230835936884,0.007300537169086407,-0.0027354967741326226,0.017463293815116337
kappa_depth,1/s,売り,立会日,50s,50000,0,201329,205773,412835,0.49454190841607265,0.4943149007810859,0.00022700763498673115,-0.00355312619421982,0.00436683242332982
kappa_depth,1/s,売り,立会日,50s,50000,1,205365,216237,426611,0.4871063230250331,0.4943149007810859,-0.007208577756052825,-0.010916362675369138,-0.0035027215922362413
kappa_depth,1/s,売り,立会日,50s,50000,2,272863,278598,557971,0.4948001762590646,0.4943149007810859,0.0004852754779786639,-0.002877911616071464,0.004266369003659526
kappa_depth,1/s,売り,立会日,50s,50000,3,315308,319711,642096,0.4965331745979254,0.4943149007810859,0.0022182738168394778,-0.0014998699999213257,0.005892486664520956
kappa_depth,1/s,売り,立会日,50s,50000,4,156399,158833,318450,0.49613935133488984,0.4943149007810859,0.0018244505538039246,-0.002155753575880663,0.006892756982435616
kappa_depth,1/s,売り,立会日,50s,50000,5,116443,117987,236830,0.4967069061126989,0.4943149007810859,0.0023920053316129897,-0.0014478842750165364,0.00672629762407375
kappa_depth,1/s,売り,立会日,50s,50000,6,7751,7657,15567,0.5030503634475597,0.4943149007810859,0.008735462666473792,-0.00121808408850131,0.018488004395440405
kappa_depth,1/s,売り,立会日,100s,100000,0,202242,206660,412677,0.49459772757286585,0.4959470433748032,-0.0013493158019373674,-0.005888341034373317,0.0037003966062781357
