feature,family,finite_rate,zero_rate,p05,p50,p95,std
gap_asym,6 板の隙間,1.0,0.771042017396184,-1.0,0.0,1.0,0.7664827665324107
med_gap,6 板の隙間,1.0,0.00022037504676393566,0.8571428656578064,0.9375,1.0,0.11468102769944075
cum_gap,6 板の隙間,1.0,0.5030525158997381,0.0,1.0,3.0,1.977574182541702
wgt_gap,6 板の隙間,0.9999421296296296,0.000011107077488233805,1.0,1.0,1.9535269856452941,0.4750894884774052
elast_b,7 板の弾力性,0.9999421296296296,0.00016835991140059663,0.5998873114585876,1.677993893623352,2.879029202461242,0.734274359608099
local_elast_b,7 板の弾力性,0.9999421296296296,0.030363826937702742,0.047532613947987606,1.3491909503936768,4.174372386932369,1.3404517632589905
deep_elast_b,7 板の弾力性,0.9999421296296296,0.0007055917120156949,0.4177626430988312,1.4122540950775146,3.5258259773254395,1.0833737872834779
marg_elast_b,7 板の弾力性,0.9999421296296296,0.1336146346852985,0.0,0.9483068585395813,5.253560304641723,1.8060413014995202
elast_a,7 板の弾力性,0.9999421296296296,0.0002075269741222632,0.5697615325450898,1.6313618421554565,2.869779920578003,0.7442007783377612
local_elast_a,7 板の弾力性,0.9999421296296296,0.032680529468538035,0.0402227144688368,1.310704231262207,4.1638699531555154,1.318800305751508
deep_elast_a,7 板の弾力性,0.9999421296296296,0.0009429324204484805,0.42242254614830016,1.3640838861465454,3.382157707214355,1.078650519303707
marg_elast_a,7 板の弾力性,0.9999421296296296,0.1397054052300305,0.0,0.9780846238136292,5.215415000915527,1.7742704523573405
elast_asym,7 板の弾力性,0.9999421296296296,0.00001344540959101987,-1.6287157535552979,0.027531487867236137,1.676857411861417,1.0276168458417765
ofi_0.1s,8 OFI,0.9999421296296296,0.783161202861417,-62.7400016784668,0.0,62.86300048828121,267.1539589098976
ofi_0.25s,8 OFI,0.9999421296296296,0.6365255658617543,-149.73699951171855,0.0,145.79599456787057,432.2642748892773
ofi_0.5s,8 OFI,0.9999421296296296,0.5321780803579519,-236.07999725341796,0.0,229.25200042724606,562.7956836567803
ofi_1s,8 OFI,0.9999421296296296,0.4405230615080722,-336.272003173828,0.0,332.26200866699213,685.1612761049801
ofi_2s,8 OFI,0.9999421296296296,0.33637901089721217,-482.4469940185547,0.0,481.68700256347614,898.1085885057054
ofi_5s,8 OFI,0.9998842592592593,0.19318488742033132,-795.9399841308593,0.0,762.7810119628904,1381.2765310663176
ofi_10s,8 OFI,0.9998263888888889,0.10468521529469611,-1168.3020263671874,0.0,1077.6419677734377,1987.2876224742383
ofi_dollar,8 OFI,0.9999421296296296,0.44034593285128615,-38573.336328125,0.0,38965.83124999999,64771.05382209671
ofi_norm,8 OFI,0.9999310231949121,0.4410511621055044,-2.4868692636489866,0.0,2.4660403013229337,11.463910513244794
ofi_per_event,8 OFI,0.5835174663299664,0.04146518605338422,-90.30050048828124,0.0,92.87333679199219,137.73244129902926
ofi_per_time,8 OFI,0.9999421296296296,0.4405230615080722,-336.272003173828,0.0,332.26200866699213,685.1612761049801
ofi_cum,8 OFI,0.9999421296296296,1.1691660513930321e-6,-100901.90390625,-1085.6300048828125,26689.189453125,707136.1614902656
ofi_ewma,8 OFI,1.0,0.004381196221473999,-115.92471504211426,0.0,108.4631389617919,200.77645398479476
d_ofi,8 OFI,0.9999421296296296,0.3285210458657996,-496.5500091552734,0.0,499.0889984130855,1040.0117448646547
ofi_vel,8 OFI,0.9999421296296296,0.3285210458657996,-496.5500091552734,0.0,499.0889984130855,1040.0117448646547
ofi_acc,8 OFI,0.999941545080434,0.2631502028504285,-879.6039794921872,0.0,884.9680053710924,1852.35494387554
ofi_sign,8 OFI,0.9999421296296296,0.4403395024380035,-1.0,0.0,1.0,0.7481015621297501
ofi_persist,8 OFI,1.0,0.4482334923307146,0.0,0.0,7.0,164.1186305529903
ofi_streak,8 OFI,1.0,0.0,1.0,1.0,8.0,164.1186304467506
ofi_reversal,8 OFI,1.0,0.5517665076692855,0.0,1.0,1.0,0.4973130087618117
ofi_z,8 OFI,1.0,0.003740530303030303,-1.4057296454906463,0.0,1.377217429876326,1.0194037812522758
ofi_shock,8 OFI,1.0,0.976104797979798,0.0,0.0,0.0,0.15272269425535864
ofi_pct,8 OFI,0.98989898989899,0.0011615410052910054,0.05255237296223641,0.6769560277462006,0.9493243560194968,0.3101052009073757
ofi_lv2,8 OFI,0.9999421296296296,0.3917127171945159,-444.52101135253895,0.0,443.85801696777304,934.2707684706972
ofi_lv3,8 OFI,0.9999421296296296,0.3540562170112491,-543.6940002441406,0.0,538.9870056152337,1066.9734102318762
ofi_lv5,8 OFI,0.9999421296296296,0.3041965461665676,-674.2321411132813,0.0,665.3729858398418,1158.8608619110012
ofi_lv10,8 OFI,0.9999421296296296,0.2512116944665125,-833.4440551757813,0.0,835.2400512695312,1240.0706229906823
add_vol_b,9 指値フロー,1.0,0.24313213150018706,0.0,705.489990234375,6150.237329101553,4358.787939502889
add_cnt_b,9 指値フロー,1.0,0.2431315469509914,0.0,9.0,64.0,27.84771720994717
add_vol_a,9 指値フロー,1.0,0.25189744668911335,0.0,639.4299926757812,5616.6140625,4007.057454315892
add_cnt_a,9 指値フロー,1.0,0.25189744668911335,0.0,7.0,64.0,27.452073536553275
add_imb,9 指値フロー,1.0,0.170801183127572,-1.0,0.0,1.0,0.5796626777012901
cancel_vol_b,10 取消,1.0,0.25609509446315004,0.0,656.8300170898438,6223.783618164057,4447.328558925114
cancel_cnt_b,10 取消,1.0,0.25609509446315004,0.0,8.0,66.0,28.484469919110843
cancel_vol_a,10 取消,1.0,0.26645915170220724,0.0,600.0,5781.501196289062,4103.02598783093
cancel_cnt_a,10 取消,1.0,0.26645915170220724,0.0,7.0,66.0,28.051669633150592
cancel_imb,10 取消,1.0,0.1807168911335578,-1.0,0.0,1.0,0.5865129374978059
exec_vol_b,9 指値フロー,1.0,0.9998445099139543,0.0,0.0,0.0,5.296979112295019
exec_cnt_b,9 指値フロー,1.0,0.9595702394313506,0.0,0.0,0.0,0.7775501232635736
exec_vol_a,9 指値フロー,1.0,0.9999281004489338,0.0,0.0,0.0,2.421114754434078
exec_cnt_a,9 指値フロー,1.0,0.9597251449682005,0.0,0.0,0.0,0.7492813946775686
exec_imb,9 指値フロー,1.0,0.9997726103628881,0.0,0.0,0.0,0.015079212503785508
cancel_bbo_b,10 取消,1.0,0.6796307987280209,0.0,0.0,305.3919860839839,208.05398503912025
add_bbo_b,9 指値フロー,1.0,0.7329340862326973,0.0,0.0,316.95799255371054,218.6287891725193
cancel_deep_b,10 取消,1.0,0.2636153198653199,0.0,627.3050231933594,5894.206640624995,4370.136775396149
add_deep_b,9 指値フロー,1.0,0.24949436494575383,0.0,647.3399963378906,6023.449609374984,4280.35912940449
cancel_bbo_a,10 取消,1.0,0.6755716891133557,0.0,0.0,323.44600219726556,211.93892375844558
add_bbo_a,9 指値フロー,1.0,0.7311465347923681,0.0,0.0,337.27200927734356,218.3450932873829
cancel_deep_a,10 取消,1.0,0.27497720258136926,0.0,567.4750061035156,5685.947607421874,4021.614825973125
add_deep_a,9 指値フロー,1.0,0.2592691965955855,0.0,617.7849731445312,5551.287329101556,3926.4066423215413
net_lof,9 指値フロー,1.0,0.16398417040778152,-1457.1489868164062,0.0,1463.9219848632767,1582.966287193523
repl_b,9 指値フロー,1.0,0.24313213150018706,0.0,705.489990234375,6150.237329101553,4358.787939502889
repl_a,9 指値フロー,1.0,0.25189744668911335,0.0,639.4299926757812,5616.6140625,4007.057454315892
depl_b,9 指値フロー,1.0,0.2560793116348672,0.0,656.8300170898438,6223.783618164057,4447.330923256714
depl_a,9 指値フロー,1.0,0.2664568135054246,0.0,600.0,5781.501196289062,4103.028384034463
repl_depl_ratio,9 指値フロー,0.8256032547699215,0.04162135295417085,0.20484266430139544,1.0,3.5465196609496994,114.800464890246
add_cancel_ratio,9 指値フロー,0.8255950710811822,0.04162176552470259,0.20484266430139544,1.0,3.5465196609496994,114.78680462099776
cancel_add_ratio,10 取消,0.834891156939768,0.052292816809205576,0.12719340324401857,0.9846304357051849,2.6983842849731343,106.56699913804142
cancel_intensity,10 取消,1.0,0.008829615600448934,2.700000047683716,21.5,102.8050029754638,44.041495304236584
cancel_int_b,10 取消,1.0,0.02001145716423494,1.2000000476837158,11.100000381469727,53.29999923706055,22.609496488425297
cancel_int_a,10 取消,1.0,0.021666900486344932,1.100000023841858,10.5,51.50499992370598,22.11817857789378
cancel_rate,10 取消,0.9999316077441077,0.17434904533664444,0.0,0.4174765646457672,4.443975162506097,7.24510894660361
cancel_to_depth,10 取消,0.9999310231949121,0.17434914725926895,0.0,12.761091232299805,234.5995285034179,306.8655342023565
cancel_z,10 取消,1.0,0.0035090488215488214,-0.8491445749998092,-0.31395548582077026,1.8422756493091579,1.0213816175979082
cancel_burst,10 取消,1.0,0.9792847456041901,0.0,0.0,0.0,0.14242939524945974
cancel_shock_b,10 取消,1.0,0.003509633370744482,-0.8512700945138931,-0.3289138972759247,1.8650232017040251,1.022582665295101
cancel_shock_a,10 取消,1.0,0.003509633370744482,-0.8302757650613785,-0.32009172439575195,1.848184078931808,1.0218907487880708
bbo_cancel_rate,10 取消,0.8255950710811822,0.4715398743381654,0.0,0.0022287899628281593,0.19893214404582932,0.12470241827092204
deep_cancel_rate,10 取消,0.8255950710811822,0.007625523767985828,0.8010678708553315,0.9977712333202362,1.0,0.12470241820362547
cancel_persist,10 取消,1.0,0.8255950710811822,0.0,0.0,1.0,7608.738894725733
t_since_cancel,10 取消,1.0,0.8255950710811822,0.0,0.0,1.0,7608.738894725733
