coin,regime,h,n_trades,spread_bp,cost_bp,size_usd,gross_bp,gross_lag1_bp,se_bp,t_gross,rand_gross_bp,rand_net_bp,net_bp,t_net,total_usd,rand_total_usd,n_days
SNDK,4,300,131056,1.4353723595116248,3.015372359511625,1454.7373000000002,1.1774380246941698,0.9354053282821964,0.4079538599459139,2.292919420853651,-0.04091193539997229,-3.056284294911597,-2.0799670312294287,-5.098534994877089,-39654.99817409563,-58268.68710635251,99
SNDK,5,60,131823,1.4353723595116248,3.015372359511625,1454.7373000000002,0.6433738081562957,0.43552051606979414,0.10341369604962343,4.211439419598813,0.04091627551701161,-2.9744560839946135,-2.5798518434418307,-24.94690686042088,-49473.26028901664,-57040.500382142454,99
SNDK,5,300,131821,1.4353723595116248,3.015372359511625,1454.7373000000002,0.6008121572615308,0.38365006696492054,0.43304643492675915,0.8859328608254379,-0.18292965779204365,-3.1983020173036687,-2.6317222925467045,-6.0772288611308065,-50467.202969139944,-61332.21484690884,99
INTC,2,60,166881,2.1694326933502572,3.7494326933502573,1469.3412,0.2696974970278133,0.18539534033496644,0.060196005935136764,3.07986115448816,-0.005788983023897726,-3.755221676374155,-3.5640373530152907,-59.20720648568714,-87392.02381841461,-92079.9614817362,99
INTC,2,300,166875,2.1694326933502572,3.7494326933502573,1469.3412,-0.06356589568807113,-0.14196744481230308,0.24736302300798163,-0.5739234712041914,-0.15222746914506158,-3.901660162495319,-3.8914001381625605,-15.731535339608932,-95415.69653123003,-95667.2685447418,99
INTC,3,60,163948,2.1694326933502572,3.7494326933502573,1469.3412,0.46901207002783063,0.38189283881563557,0.05701918359399857,6.697620252420291,0.011838235082669256,-3.737594458267588,-3.3675398545346216,-59.05976975245687,-81122.53689665478,-90036.98766542027,99
INTC,3,300,163943,2.1694326933502572,3.7494326933502573,1469.3412,0.6204622136469672,0.5341140892456891,0.24050391125427853,2.2208124868330485,0.10450257812414898,-3.644930115226108,-3.215318604104568,-13.369090703498353,-77453.23249610425,-87802.06704438878,99
INTC,4,60,118862,2.1694326933502572,3.7494326933502573,1469.3412,0.5001586896393259,0.4944458308760967,0.0890440976626787,5.552819825848324,0.02020311800715329,-3.729229575343104,-3.2549868624741607,-36.554773959357355,-56847.96592868063,-65130.55959869204,99
INTC,4,300,118861,2.1694326933502572,3.7494326933502573,1469.3412,0.8410725810358586,0.8321700958789309,0.3154043592926073,2.638422936656082,0.01248967180766991,-3.7369430215425874,-2.9172625974713267,-9.249277987197763,-50949.222383288274,-65264.724952523524,99
INTC,5,60,117777,2.1694326933502572,3.7494326933502573,1469.3412,0.3876202407152276,0.3515831061377259,0.08299661260736126,4.236113921913757,0.04972444911728953,-3.699708244232968,-3.3978495872125314,-40.939617659903924,-58801.349612058875,-64025.152481875266,99
INTC,5,300,117773,2.1694326933502572,3.7494326933502573,1469.3412,0.3008004108209283,0.23874847908026747,0.3224277037592106,0.740471356203824,0.022834627243993783,-3.7265980661062637,-3.5106842142699897,-10.888283399157825,-60751.94136324887,-64488.302957080814,99
AMD,2,60,170567,2.7095469845867513,4.289546984586751,751.3505600000001,0.5161928818688813,0.4080559188474169,0.05454979925799471,7.480429339758074,0.014217473140061896,-4.27532951144669,-3.8814910657393344,-71.15500182469454,-49743.48589947948,-54790.74656269194,99
