metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
refill_prob,買い,立会日,1s,1000,生,絶対値,3657048,0.000030127228183460193,0.06319504140494085,0.0039936132581721885,121.09247412301713
refill_prob,買い,立会日,3s,3000,生,絶対値,3656981,0.000047861629421499514,0.06722164407703517,0.004518749432419597,128.8409210776116
refill_prob,買い,立会日,5s,5000,生,絶対値,3656908,0.00006017021196916034,0.06748991383603263,0.0045548884695951085,129.35615947998852
refill_prob,買い,立会日,10s,10000,生,絶対値,3656758,0.0000835798377660073,0.06821531949151176,0.004653329813329024,130.75030929943074
refill_prob,買い,立会日,30s,30000,生,絶対値,3656158,0.00014109129817553654,0.06715534860801557,0.004509840846664099,128.69879516804858
refill_prob,買い,立会日,50s,50000,生,絶対値,3655584,0.00018088114224236782,0.06731793918493192,0.004531704936106193,129.00167850874692
refill_prob,買い,立会日,100s,100000,生,絶対値,3654122,0.0002533962637503559,0.06744912574942837,0.0045493845643622,129.22837040636952
refill_prob,買い,閉場日,10ms,10,log1p,二乗,413211,-9.340888292098542e-14,-0.00018795741974369243,3.5327991636706584e-8,-0.1208215403474249
refill_prob,買い,閉場日,20ms,20,log1p,二乗,413211,-9.699076401352154e-14,-0.00019516126581127169,3.808791967305784e-8,-0.12545226900946269
refill_prob,買い,閉場日,50ms,50,log1p,二乗,413211,3.296873465948336e-12,0.0021936547937157656,4.812121353992158e-6,1.4101139745023896
refill_prob,買い,閉場日,100ms,100,log1p,二乗,413211,3.334988703640152e-10,0.015466706381516905,0.00023921900629205576,9.943394702856793
refill_prob,買い,閉場日,500ms,500,log1p,二乗,413208,4.494280211728135e-9,0.02887164672617784,0.0008335719846812157,18.566752489852774
refill_prob,買い,閉場日,1s,1000,log1p,二乗,413201,-0.000014472381489217325,-0.0011821582477622452,1.3974981227523018e-6,-0.7598984365047197
refill_prob,買い,閉場日,3s,3000,log1p,二乗,413184,-0.000014435617560931678,-0.0011805094213189957,1.39360249382291e-6,-0.7588229490837441
refill_prob,買い,閉場日,5s,5000,log1p,二乗,413162,-0.0000144278187083181,-0.0011794764431682107,1.3911646799887335e-6,-0.7581387727784326
refill_prob,買い,閉場日,10s,10000,log1p,二乗,413107,-0.000014407270102530783,-0.0011777052236156013,1.3869895937314736e-6,-0.7569498866016232
refill_prob,買い,閉場日,30s,30000,log1p,二乗,412913,-0.000014285667168136461,-0.0011683456224294694,1.3650314934501043e-6,-0.7507578093996928
refill_prob,買い,閉場日,50s,50000,log1p,二乗,412743,-0.000014155839872767529,-0.001157325043996343,1.3394012574611375e-6,-0.7435230694890039
refill_prob,買い,閉場日,100s,100000,log1p,二乗,412266,0.000011301380715244145,0.0006504545326650562,4.2309109906451673e-7,0.4176425537017593
refill_prob,買い,閉場日,10ms,10,log1p,符号つき,413211,-3.668527726955089e-9,-0.001791589076606324,3.209791419415101e-6,-1.1516592203565739
refill_prob,買い,閉場日,20ms,20,log1p,符号つき,413211,-3.809013759845654e-9,-0.001857076644639195,3.4487336640643705e-6,-1.1937557133775758
refill_prob,買い,閉場日,50ms,50,log1p,符号つき,413211,1.5402063205355996e-8,0.003189294207091195,0.000010171597539385454,2.0501313126887664
refill_prob,買い,閉場日,100ms,100,log1p,符号つき,413211,7.812136689487008e-7,0.016736464388007834,0.00028010924021105445,10.759929785583703
refill_prob,買い,閉場日,500ms,500,log1p,符号つき,413208,9.971704680474517e-6,0.053826652379238976,0.0028973085063554328,34.6505981558779
refill_prob,買い,閉場日,1s,1000,log1p,符号つき,413201,6.069495119339374e-6,0.0008031368805426351,6.450288488877549e-7,0.5162610262727315
refill_prob,買い,閉場日,3s,3000,log1p,符号つき,413184,0.000016182449011808812,0.002137001448618786,4.56677519139879e-6,1.3736513110183746
refill_prob,買い,閉場日,5s,5000,log1p,符号つき,413162,0.000018965591912597274,0.0024991807780317603,6.245904561283435e-6,1.606416523370907
refill_prob,買い,閉場日,10s,10000,log1p,符号つき,413107,0.000020671486739295495,0.0027089152140813803,7.338221637081571e-6,1.7411140959300166
refill_prob,買い,閉場日,30s,30000,log1p,符号つき,412913,0.00002749491345334598,0.003535132740889833,0.000012497163495711262,2.271625137440163
refill_prob,買い,閉場日,50s,50000,log1p,符号つき,412743,0.000033659235228080386,0.004251185888607366,0.0000180725814594944,2.7311957372792417
refill_prob,買い,閉場日,100s,100000,log1p,符号つき,412266,0.000015741434911264358,0.0014052137970421053,1.974625815397491e-6,0.9022575822015517
refill_prob,買い,閉場日,10ms,10,log1p,絶対値,413211,1.5951040309239245e-9,0.00077900578323063,6.068500103067674e-7,0.5007554673492376
refill_prob,買い,閉場日,20ms,20,log1p,絶対値,413211,1.4546179980333581e-9,0.0007092045346710133,5.029710719979285e-7,0.4558862557950346
refill_prob,買い,閉場日,50ms,50,log1p,絶対値,413211,1.515942260367097e-8,0.003139215459292528,9.854673699861196e-6,2.017939541677491
refill_prob,買い,閉場日,100ms,100,log1p,絶対値,413211,2.3588827446759785e-6,0.050943191126988106,0.00259520872220084,32.789538721060424
refill_prob,買い,閉場日,500ms,500,log1p,絶対値,413208,0.00001866378890367742,0.1069575748727006,0.011439922822649357,69.15018129440239
refill_prob,買い,閉場日,1s,1000,log1p,絶対値,413201,0.00001918804198089882,0.00253936738588636,6.448386720503326e-6,1.6323247612375764
refill_prob,買い,閉場日,3s,3000,log1p,絶対値,413184,0.00003556022124727219,0.004699200415423661,0.00002208248454431791,3.0206434109157168
refill_prob,買い,閉場日,5s,5000,log1p,絶対値,413162,0.000044654506781921905,0.005892204597661118,0.00003471807502069882,3.787428929111685
refill_prob,買い,閉場日,10s,10000,log1p,絶対値,413107,0.00005951647075646922,0.007823324895823101,0.00006120441242560554,5.028458647827158
refill_prob,買い,閉場日,30s,30000,log1p,絶対値,412913,0.00009531929960273275,0.012377131748108988,0.00015319339031004745,7.953925304846815
refill_prob,買い,閉場日,50s,50000,log1p,絶対値,412743,0.00011996205444523948,0.015397990323530142,0.00023709810600352788,9.893599815999627
refill_prob,買い,閉場日,100s,100000,log1p,絶対値,412266,0.00016782469309878446,0.01522977745732725,0.0002319461213997133,9.779837438864591
refill_prob,買い,閉場日,10ms,10,生,二乗,413211,-6.474610383593502e-14,-0.00018795741974369224,3.532799163670651e-8,-0.12082154034742477
refill_prob,買い,閉場日,20ms,20,生,二乗,413211,-6.722887461632752e-14,-0.00019516126581127182,3.808791967305789e-8,-0.12545226900946274
refill_prob,買い,閉場日,50ms,50,生,二乗,413211,2.285218547584986e-12,0.002193654793715767,4.8121213539921635e-6,1.4101139745023907
refill_prob,買い,閉場日,100ms,100,生,二乗,413211,2.3116380171274397e-10,0.015466706381516912,0.00023921900629205598,9.943394702856795
refill_prob,買い,閉場日,500ms,500,生,二乗,413208,3.1151976574057115e-9,0.02887164672617784,0.0008335719846812157,18.566752489852774
refill_prob,買い,閉場日,1s,1000,生,二乗,413201,-0.00001003149042523893,-0.001182158247762245,1.3974981227523013e-6,-0.7598984365047197
refill_prob,買い,閉場日,3s,3000,生,二乗,413184,-0.00001000600761200143,-0.001180509421318996,1.3936024938229106e-6,-0.7588229490837444
refill_prob,買い,閉場日,5s,5000,生,二乗,413162,-0.000010000601859300729,-0.0011794764431682112,1.3911646799887344e-6,-0.7581387727784329
refill_prob,買い,閉場日,10s,10000,生,二乗,413107,-9.986358651134808e-6,-0.0011777052236156013,1.3869895937314736e-6,-0.7569498866016233
refill_prob,買い,閉場日,30s,30000,生,二乗,412913,-9.902069920011564e-6,-0.0011683456224294692,1.3650314934501038e-6,-0.7507578093996927
refill_prob,買い,閉場日,50s,50000,生,二乗,412743,-9.812080496266864e-6,-0.0011573250439963429,1.339401257461137e-6,-0.7435230694890037
refill_prob,買い,閉場日,100s,100000,生,二乗,412266,7.833520179206024e-6,0.0006504545326650568,4.230910990645174e-7,0.4176425537017596
refill_prob,買い,閉場日,10ms,10,生,符号つき,413211,-2.542829650744905e-9,-0.001791589076606324,3.209791419415101e-6,-1.1516592203565736
refill_prob,買い,閉場日,20ms,20,生,符号つき,413211,-2.6402071483510525e-9,-0.0018570766446391951,3.4487336640643714e-6,-1.193755713377576
refill_prob,買い,閉場日,50ms,50,生,符号つき,413211,1.067589668559859e-8,0.0031892942070911963,0.000010171597539385462,2.050131312688767
refill_prob,買い,閉場日,100ms,100,生,符号つき,413211,5.414960520466826e-7,0.01673646438800784,0.00028010924021105467,10.759929785583706
refill_prob,買い,閉場日,500ms,500,生,符号つき,413208,6.911858984647324e-6,0.05382665237923898,0.0028973085063554336,34.65059815587791
refill_prob,買い,閉場日,1s,1000,生,符号つき,413201,4.207053429392434e-6,0.000803136880542635,6.450288488877547e-7,0.5162610262727313
refill_prob,買い,閉場日,3s,3000,生,符号つき,413184,0.000011216818907090353,0.002137001448618786,4.56677519139879e-6,1.3736513110183746
refill_prob,買い,閉場日,5s,5000,生,符号つき,413162,0.000013145946561867301,0.00249918077803176,6.245904561283432e-6,1.6064165233709071
refill_prob,買い,閉場日,10s,10000,生,符号つき,413107,0.000014328382751324969,0.00270891521408138,7.338221637081568e-6,1.7411140959300166
refill_prob,買い,閉場日,30s,30000,生,符号つき,412913,0.000019058021739926475,0.0035351327408898333,0.000012497163495711265,2.2716251374401635
refill_prob,買い,閉場日,50s,50000,生,符号つき,412743,0.0000233308039981479,0.004251185888607365,0.000018072581459494393,2.7311957372792413
refill_prob,買い,閉場日,100s,100000,生,符号つき,412266,0.000010911131226710789,0.001405213797042106,1.974625815397493e-6,0.9022575822015523
refill_prob,買い,閉場日,10ms,10,生,絶対値,413211,1.105641861734722e-9,0.0007790057832306299,6.068500103067672e-7,0.5007554673492375
refill_prob,買い,閉場日,20ms,20,生,絶対値,413211,1.0082643641285748e-9,0.0007092045346710135,5.029710719979288e-7,0.45588625579503483
refill_prob,買い,閉場日,50ms,50,生,絶対値,413211,1.0507711036651244e-8,0.003139215459292529,9.854673699861203e-6,2.0179395416774923
refill_prob,買い,閉場日,100ms,100,生,絶対値,413211,1.63505292374366e-6,0.050943191126988106,0.00259520872220084,32.789538721060424
refill_prob,買い,閉場日,500ms,500,生,絶対値,413208,0.000012936752657149992,0.10695757487270055,0.011439922822649344,69.15018129440233
refill_prob,買い,閉場日,1s,1000,生,絶対値,413201,0.000013300137199525873,0.0025393673858863583,6.448386720503317e-6,1.632324761237575
refill_prob,買い,閉場日,3s,3000,生,絶対値,413184,0.00002464846709763458,0.0046992004154236605,0.000022082484544317904,3.020643410915717
refill_prob,買い,閉場日,5s,5000,生,絶対値,413162,0.00003095214547518409,0.005892204597661112,0.00003471807502069875,3.7874289291116807
refill_prob,買い,閉場日,10s,10000,生,絶対値,413107,0.00004125367390172494,0.007823324895823075,0.00006120441242560512,5.02845864782714
refill_prob,買い,閉場日,30s,30000,生,絶対値,412913,0.00006607030377258294,0.012377131748108993,0.00015319339031004758,7.953925304846819
refill_prob,買い,閉場日,50s,50000,生,絶対値,412743,0.00008315135981289654,0.015397990323530173,0.00023709810600352886,9.893599815999643
refill_prob,買い,閉場日,100s,100000,生,絶対値,412266,0.00011632721284976063,0.01522977745732726,0.00023194612139971357,9.779837438864597
refill_size,売り,立会日,10ms,10,log1p,二乗,3675596,7.308301309838833e-13,0.0021860995970286075,4.77903144812864e-6,4.191164905413039
refill_size,売り,立会日,20ms,20,log1p,二乗,3675596,7.907048537890335e-13,0.0022734666425508507,5.168650574791438e-6,4.358664845409988
refill_size,売り,立会日,50ms,50,log1p,二乗,3675596,3.110523381529753e-12,0.00248319339492432,6.1662494365957705e-6,4.760753006434489
refill_size,売り,立会日,100ms,100,log1p,二乗,3675594,2.187758554961759e-10,0.0194243477445122,0.0003773052852997362,37.24706351286209
refill_size,売り,立会日,500ms,500,log1p,二乗,3675574,2.9470477419880917e-9,0.0013001540732345337,1.6904006141483492e-6,2.49262906765989
refill_size,売り,立会日,1s,1000,log1p,二乗,3675557,5.021273700868379e-9,0.0010697655454542474,1.1443983222410235e-6,2.0509275435742733
refill_size,売り,立会日,3s,3000,log1p,二乗,3675494,1.723713201010375e-8,0.004521354780905195,0.00002044264905481426,8.668236792235748
refill_size,売り,立会日,5s,5000,log1p,二乗,3675432,2.7921955785526847e-8,0.005631563896585051,0.0000317145119213202,10.796673814349068
refill_size,売り,立会日,10s,10000,log1p,二乗,3675264,6.306232309264048e-8,0.015285070127636226,0.00023363336880675731,29.30639011741884
