dt,cfg,qty,lat_open_ms,lat_cancel_ms,n_quote,n_fill,volume,pnl_usd,end_inv
2026-07-12,q1_lat100,1.0,100,100,75910,584,502.8999999999998,7.070633902961106,-2.6999999999999957
2026-07-13,lat0,0.37243947858473,0,0,354660,4887,1775.311359404131,9.462452918007784,-1.9716945996275568
2026-07-13,lat50,0.37243947858473,50,50,353666,1777,640.0629422718903,-3.465531017173703,-2.0968342644320295
2026-07-13,lat100,0.37243947858473,100,100,345441,2301,825.2575418994543,1.2021329101627884,-2.175605214152698
2026-07-13,lat300,0.37243947858473,300,300,335543,4782,1701.7826815642786,11.276408087105935,-1.726070763500922
2026-07-13,open100only,0.37243947858473,100,0,339991,1104,397.8607076350139,-6.913320011149594,-2.0070763500931093
2026-07-13,cancel100only,0.37243947858473,0,100,353550,6064,2196.249162011132,10.89541187712706,-2.074860335195525
2026-07-13,q1_lat0,1.0,0,0,355150,4946,4551.100000000006,25.016423001529063,-5.100000000000013
2026-07-13,q1_lat100,1.0,100,100,345756,2351,2073.5000000000027,8.81003527208361,-5.900000000000002
2026-07-14,lat0,0.37243947858473,0,0,407226,8240,2994.4964618245112,1.3360629943555082,-0.7724394785847257
2026-07-14,lat50,0.37243947858473,50,50,409149,3188,1122.8281191806468,10.388523858771379,2.0795158286778404
2026-07-14,lat100,0.37243947858473,100,100,408278,4153,1475.9134078212487,0.680726722462552,1.9692737430167626
2026-07-14,lat300,0.37243947858473,300,300,397867,8624,3088.23575418949,3.9706514767449193,1.8409683426443333
2026-07-14,open100only,0.37243947858473,100,0,402710,1731,602.9065176908827,-2.927240332736517,2.089757914338922
2026-07-14,cancel100only,0.37243947858473,0,100,405463,10593,3846.3262569823423,0.308904262574039,-0.6134078212290445
2026-07-14,q1_lat0,1.0,0,0,407726,8350,7813.600000000041,4.280172514017664,-1.399999999999993
2026-07-14,q1_lat100,1.0,100,100,409773,4295,3786.300000000054,0.9134498740864387,5.100000000000003
2026-07-15,lat0,0.37243947858473,0,0,357544,7129,2527.637243947657,8.550226341899744,1.8841713221601564
2026-07-15,lat50,0.37243947858473,50,50,360309,3392,1143.0653631285004,3.28510119185208,-0.14804469273742982
2026-07-15,lat100,0.37243947858473,100,100,358336,4357,1478.991806331482,4.342399395438072,-0.37169459962755097
2026-07-15,lat300,0.37243947858473,300,300,356274,9242,3160.6672253254615,8.68280201417842,-0.974115456238339
2026-07-15,open100only,0.37243947858473,100,0,353165,1888,618.7296089385546,-1.668900322678141,1.8905027932960874
2026-07-15,cancel100only,0.37243947858473,0,100,359452,9635,3398.482867783366,6.954164362928282,1.4463687150838094
2026-07-15,q1_lat0,1.0,0,0,359036,7279,6392.400000000059,22.430178042892805,4.799999999999994
2026-07-15,q1_lat100,1.0,100,100,359486,4493,3548.700000000044,8.324277097045012,-2.3000000000000043
2026-07-16,lat0,0.37243947858473,0,0,357135,7550,2694.0528864056173,7.008477373828971,0.14487895716945876
2026-07-16,lat50,0.37243947858473,50,50,358692,3787,1313.5085661080268,1.9189221570893125,-1.5826815642458114
2026-07-16,lat100,0.37243947858473,100,100,359401,4763,1662.2513966480662,1.2963782487948166,-0.8826815642458075
2026-07-16,lat300,0.37243947858473,300,300,355473,8744,3064.7636871502787,5.455891228776273,0.10074487895718287
2026-07-16,open100only,0.37243947858473,100,0,359710,2154,734.9517690875356,-1.7541674905296674,-1.3212290502793271
2026-07-16,cancel100only,0.37243947858473,0,100,356768,10137,3614.765921786832,5.868441580250135,1.086592178770946
2026-07-16,q1_lat0,1.0,0,0,357029,7759,6766.499999999956,18.30034183233468,4.5000000000000036
2026-07-16,q1_lat100,1.0,100,100,358074,5050,4038.100000000012,4.890711677365019,-1.899999999999999
2026-07-17,lat0,0.37243947858473,0,0,397959,9369,3372.7061452507482,11.963059159798696,-1.0480446927374252
2026-07-17,lat50,0.37243947858473,50,50,393670,4431,1568.971322160173,6.7934362049455,0.5582867783985069
2026-07-17,lat100,0.37243947858473,100,100,396023,5661,2003.0886405959359,4.933201217925419,0.06927374301676192
2026-07-17,lat300,0.37243947858473,300,300,392743,10601,3747.9759776528435,6.113161247576336,0.4117318435754275
2026-07-17,open100only,0.37243947858473,100,0,393540,2530,884.414152700196,7.3340094664946704,0.33072625698323826
2026-07-17,cancel100only,0.37243947858473,0,100,396903,12462,4479.162569831576,13.66933641718444,-1.285102420856607
2026-07-17,q1_lat0,1.0,0,0,395273,9562,8511.399999999941,29.80719552697819,-2.4000000000000057
2026-07-17,q1_lat100,1.0,100,100,396257,5954,4889.300000000006,10.169235815527266,0.6999999999999984
2026-07-18,lat0,0.37243947858473,0,0,56316,1737,609.6945996275684,-1.014625043120219,1.939292364990694
2026-07-18,lat50,0.37243947858473,50,50,58250,465,156.14115456238304,-0.9597179529547724,-0.2204841713221583
2026-07-18,lat100,0.37243947858473,100,100,59684,595,200.52998137802615,-0.7131941659713235,0.048789571694601186
2026-07-18,lat300,0.37243947858473,300,300,58194,1295,431.3843575419026,-1.166571414701444,-0.6945996275605129
2026-07-18,open100only,0.37243947858473,100,0,59483,273,90.99888268156408,-0.05120255206401225,-0.8480446927374274
2026-07-18,cancel100only,0.37243947858473,0,100,57764,2085,729.2366852886512,-1.265703101797186,1.763687150837993
2026-07-18,q1_lat0,1.0,0,0,56211,1761,1498.4000000000028,-3.449208408396885,5.399999999999992
2026-07-18,q1_lat100,1.0,100,100,59935,629,493.09999999999934,-3.5182219499997416,-0.30000000000000854
