n_ticks,ts_min,ts_max,covered_ns,px_first,px_last,px_min,px_max,mp_tw,mid_tw,spread_bp_tw,spread_bp_med,dev_bp_tw_abs,dev_bp_ev_abs,dev_bp_p99,imb_tw,bid_sz_tw,ask_sz_tw,dwell_med,dwell_p99,gap_ns,n_all,n_crossed,n_locked,crossed_ns,dt,uncovered_ns
83464,1778716805476066517,1778803199596702261,86374469376904,55.08934654050858,53.52934939759036,52.953878048780496,55.40077828776691,54.14244192947355,54.14238177587893,10.701816094032782,12.93135299340295,2.814603816276931,3.7633044671405744,17.598371979411972,0.4870374193630449,87.8585681045083,300.8826240072009,467242590.5,11723350669.0,847567239650,83518,53,1,19517054144,2026-05-14,20054556579
155698,1778803202038320165,1778889592176000000,86369041955102,53.53394029850747,50.44499235260447,49.02688461538461,54.03640517607128,51.292012113128656,51.288839327738515,15.56391415548831,18.39371194818056,4.417553737720256,5.507431110752638,20.337355996407325,0.5640022292357864,860.177860926619,488.3243801421311,335457986.5,4545403056.0,467391517532,155784,76,10,23925165653,2026-05-15,28919724733
126488,1778889610126000000,1778975986675610453,86385496154617,50.444993171245905,50.284,49.82518543046357,50.64187460417986,50.23601085803963,50.23595637313426,15.93152202919083,20.20828539701259,4.568629326443805,5.761104394323077,15.85222394245264,0.5627923927462979,848.0054659445194,94.25104728813483,333628189.0,10212961330.0,4210231487917,126495,7,0,4377845383,2026-05-16,4377845383
50965,1778976025581264130,1779062395535509808,86365582101351,50.254428571428576,51.14828571428571,49.80573011077543,52.21199889155737,51.28881539963572,51.29465715860337,17.29996307139797,18.637881494136163,4.239130687350571,5.118325223722122,22.446662546661777,0.41619464903641534,30.036015540528872,218.13880663771207,693102192.0,18952690286.0,4774604606266,50986,17,4,7056303023,2026-05-17,8836634519
97578,1779062400707722574,1779148794828000000,86364704289228,51.117000000000004,49.70932612312812,48.09011692969871,53.49385507246377,50.7363590177809,50.738991989137205,16.69489624103442,16.28099025357512,4.279862896875954,5.202320228655925,22.160903336466852,0.45518044187822687,88.26678686302475,71.22858505066996,468859321.0,6935000000.0,4146906026542,97661,69,14,27725965594,2026-05-18,34587988198
126221,1779148802168209549,1779235199670848602,86382636290919,49.712491271820454,49.95438888888889,46.330337888198756,50.93818018551411,48.94240740051067,48.943649348714715,10.024197142936227,10.277168954560125,2.3810297748647864,2.770769168760114,10.774679569318247,0.49268742393032167,69.704981330775,68.03318347798796,336486823.0,7009000000.0,133568174388,126267,38,8,11513098986,2026-05-19,15195499532
108180,1779235200148728846,1779321594306388404,86308498370754,49.95093650793651,51.666000000000004,47.894496522948536,52.010095112285335,50.36870034059543,50.36842824239967,6.348479728742603,7.931935181934661,1.5690405210323908,2.2452616751044223,9.4480876490196,0.49397910168895814,43.975502645158166,32.06635626102994,336512637.5,10095393423.0,4153139615011,108454,243,31,81778637596,2026-05-20,91352900400
90480,1779321600561055099,1779407999988290999,86325430327441,51.68806640625,54.83149999999999,51.06005785123967,54.97847169811321,53.24163098992456,53.24272619871122,5.671517873029725,6.8029139154004135,1.514005289671022,1.877501158585106,6.984596471581794,0.4827210097934825,250.7828785835149,153.1546836974096,342000000.0,11276654161.0,595309410098,90748,237,31,66927670284,2026-05-21,74008617460
60434,1779408000728000000,1779494387046070163,86378345509569,54.818365853658534,52.58757142857143,52.522470588235294,54.874277858176555,53.508424566224136,53.50739700000599,5.059134009924643,5.382780670249644,1.5809416602610518,1.584483237335053,5.07279662075521,0.5429900246751798,120.25012419797993,71.97673866926593,400890859.5,17511600355.0,786644234443,60509,68,7,19241562212,2026-05-22,20926490431
51770,1779494400999999999,1779580778517826109,86275898433364,52.57899224014703,54.371995024875616,50.48335084427767,55.19996715328467,52.418398263154785,52.41848457100272,5.1333145750127365,6.941431670927441,1.4433272696198676,1.7589762592476417,6.290145526843786,0.4964533791719175,41.86691192694806,34.85491854576633,363040098.5,22961341734.0,4575851028143,52167,387,10,120231973405,2026-05-23,123101566637
53623,1779580801045105705,1779667190269748597,86344524822251,54.39163882063883,55.24997376093295,54.02841279069767,55.384511082138204,54.93566585718956,54.936169663182724,6.814354808586653,9.077375549180704,1.6110723032695449,2.2863521979221364,8.997405989806301,0.48944530214312554,216.1992073644593,61.195190193533286,341401015.0,24876134230.0,2697332765883,53772,135,14,48635359945,2026-05-24,54430072044
50842,1779667202030141817,1779753599838368171,86396454145279,55.24699999999999,55.207982716711,55.17438167938931,55.38451424949912,55.21028994743697,55.19929566009968,4.454039280310914,0.18120045300199772,2.058347535108746,0.6517373320243051,17.08483902071884,0.9509182949552638,10852.06740733891,407.63956319390076,737988654.5,15777639361.0,1523560493161,50846,3,1,1094163798,2026-05-25,1515712904
98883,1779753600246981004,1779839999916205856,86344320770376,55.21897366355962,62.14252098765432,55.0083886462882,62.14252098765432,57.92770195600888,57.928287437923025,4.65829825597268,4.84710719628335,1.3457360588614018,1.6002097559606057,7.2935274947730395,0.47235274638779856,34.27418777978243,53.592636288748515,330274834.0,10803257817.0,60389991298,99059,159,17,50322164244,2026-05-26,55432248620
