dt,orders_all,orders_resting,orders_canceled,100ms_windows,100ms_cancel_ratio_mean,100ms_lambda_cancel_bid,100ms_lambda_cancel_ask,100ms_new_diff_mean,1s_windows,1s_cancel_ratio_mean,1s_lambda_cancel_bid,1s_lambda_cancel_ask,1s_new_diff_mean,10s_windows,10s_cancel_ratio_mean,10s_lambda_cancel_bid,10s_lambda_cancel_ask,10s_new_diff_mean,60s_windows,60s_cancel_ratio_mean,60s_lambda_cancel_bid,60s_lambda_cancel_ask,60s_new_diff_mean
2026-05-18,401580,379901,369484,265990,0.5286361968663146,589.5263844505432,525.6636527689011,64.60284597165307,72940,0.5305813985891273,214.98234576364135,191.69354949273375,23.55869344666849,8395,0.5357618554426063,186.78751995235262,166.55303752233473,20.468982727814176,1480,0.5326511699155416,176.5857240990991,157.45639076576578,19.3510259009009
2026-05-19,566084,526394,517852,311546,0.5192049354208249,784.8545961110077,684.469150623022,100.78725132083224,77858,0.5258165075726976,314.0567571733156,273.8878805003982,40.3296578386293,8771,0.527786225822174,278.7804241249573,243.12350473150155,35.799640861931366,1533,0.5248947941422425,265.8385627310285,231.83694933681235,34.13770928462711
2026-05-20,522374,497100,489774,295032,0.5111615240489489,817.4284891130453,662.0792117465224,155.39407589685186,74040,0.5334420680230776,325.7260426796326,263.8230064829822,61.920887358184764,8400,0.5592748292510643,287.10424047619057,232.54113571428576,54.57883928571429,1455,0.554749764262683,276.2515028636884,223.7509209621993,52.51572164948453
2026-05-21,547420,508719,496583,281236,0.49839648513508655,801.7538793042143,725.5883635096502,74.86203046551651,74275,0.516673992102461,303.5773194210704,274.7378916189835,28.345874116459104,8752,0.5368621010298915,257.63488802559414,233.1599280164534,24.056099177330896,1521,0.535158908422973,247.07654394039014,223.6046120973044,23.07023668639053
2026-05-22,468024,442360,435935,253913,0.506010928654201,851.0552905916594,792.6041518157795,61.07085891624296,73178,0.5040731149206121,295.29913635245566,275.017762168958,21.19036459045068,8793,0.538475232438549,245.75685431593314,228.87808256567726,17.635261003070624,1541,0.5296713430138664,233.71620376378974,217.6643932511356,16.771236210253086
2026-05-23,274799,255806,248929,171119,0.5278215581119657,412.32496683594456,428.2938422968811,-15.774805836873755,57576,0.5247832982312163,122.54522023065167,127.29125677365569,-4.688357996387384,8795,0.5134777747953768,80.22357703240479,83.33054462762934,-3.06920864127345,1556,0.48906983367759943,75.5748029134533,78.50172879177377,-2.8913549700085692
2026-05-24,391876,202843,199778,153571,0.5638737942361804,375.8892108536117,345.13407479276685,31.14576319747869,51576,0.5524403900845839,111.92353420195442,102.76598611757406,9.273859934853421,8544,0.549759028688867,67.56283005617978,62.03486072097378,5.598181179775282,1501,0.5303380213498181,64.09691538974016,58.8525260937153,5.310999333777482
2026-05-25,1033685,199820,199546,141254,0.7624679692931463,551.448546589831,331.61852407719425,220.20749854871366,57405,0.7328285996248618,135.6925581395349,81.59993554568418,54.185506488981794,8662,0.7092354607919411,89.92647540983606,54.07809166474255,35.9099399676749,1490,0.6463464467989259,87.13010402684563,52.39646868008949,34.793277404921696
2026-05-26,666879,612065,594423,272225,0.4865221139860906,1015.458741849573,1086.0644834236384,-72.05057948388281,69517,0.49590638041051527,397.64842556496967,425.2972711710804,-28.21463670756793,8782,0.5099112426974577,314.7725529492143,336.65896606695514,-22.334284900933728,1561,0.5095693402478881,295.1454793935511,315.66720478325857,-20.941670937433265
2026-05-27,1544799,848709,821819,357747,0.48025417144963123,830.7424800207968,895.1562417015376,-66.94027343345996,75410,0.48953381845635136,394.1063917252353,424.6644476859833,-31.756639702957163,8399,0.4952769469158022,353.8464460054769,381.2828431956185,-28.51253958804619,1453,0.48712161334733506,340.8988644184446,367.3313374627208,-27.469238357421425
2026-05-28,1032503,984374,967279,367746,0.5040159804255134,1033.5581270768412,1071.264671811522,-38.34225525226651,78357,0.5080198080794492,485.0707237387853,502.76720395114666,-17.994832625036697,8768,0.5066281588987444,433.4932333485402,449.3080497262774,-16.08144502737226,1525,0.5017315922638108,415.39548306010926,430.55005245901634,-15.410066666666665
2026-05-29,770256,745473,738437,290474,0.5296787963080033,1240.0287839875514,1174.3676026081507,65.37336904507805,72117,0.5272818421222877,499.460766532163,473.01365142754133,26.33118959468641,8864,0.5263258858378466,406.3584397563177,384.8412172833935,21.422906137184118,1576,0.5221699361354081,380.9180636632826,360.747943104907,20.081708967851096
2026-05-30,313168,269183,266374,153331,0.5309930437583599,336.44039365816434,339.5631411782353,-3.2576387031976575,58645,0.5233256749008862,87.96443345553756,88.78089521698354,-0.8517299002472506,8734,0.5067472038283007,59.06427982596749,59.61249828257385,-0.571899473322647,1524,0.49742085733982033,56.41594706911635,56.93958442694663,-0.5462565616797902
2026-05-31,651148,354228,347911,184813,0.5650327589799069,396.4481070054596,362.6923971798521,33.04446115803542,60351,0.5486073939693077,121.40439097943697,111.06737253732331,10.119212606253416,8746,0.5409393696449418,83.774026983764,76.64105876972332,6.9826732220443635,1521,0.525456020755972,80.28573745342976,73.4497808459347,6.691919789612099
