dt,n_ev,cover,px_med,range_pct,rv1,rv5,rv10,rv30,rv60,rv300,ret_cc
2026-06-24,350261,0.9999964734216551,71.691,19.779330738865397,0.0646462761353335,0.07244139701636741,0.0724379384147281,0.07764945567876064,0.08548958857265003,0.10544255309430782,0.1283457153352636
2026-06-25,369875,0.9999910684440279,77.3555,8.693628765892528,0.056856707162961206,0.06381001075452973,0.06457377148718944,0.0665165644436319,0.06772834113086362,0.07318007341746847,-0.047126783385761165
2026-06-26,327798,0.999999247047882,73.0675,7.89954494132137,0.05538982218799436,0.06125690017735107,0.062199229641385655,0.06368867706613843,0.06541725080177668,0.06751154368042446,-0.05664605327450688
2026-06-27,71230,0.9999824461871876,72.48949999999999,11.171273080928982,0.1122418680612597,0.019309261778891668,0.019508017683929384,0.019710489983395436,0.019380300304887053,0.019469774254602515,-0.0006157784775899946
2026-06-28,114642,0.999988055545081,73.505,4.952044078634127,0.027465135279061165,0.031237374593664866,0.030616146820398635,0.029627270709192247,0.028655718397291412,0.026979799194830005,0.005851238343528789
2026-06-29,339880,0.9999964190747106,70.886,9.06032220748808,0.061292262900408685,0.053662043787584365,0.05429966177903621,0.05552236984508333,0.05478492689011811,0.05811038920243073,-0.012663173372766349
2026-06-30,279042,0.9999977460856366,72.8875,5.507803121248497,0.04247083213849368,0.04417919358383091,0.04456062429179843,0.04287322826931044,0.04286536571770816,0.04167949192729981,0.024046454382891852
2026-07-01,320429,0.9999977550669907,68.097,13.599718049253266,0.06308417466171008,0.06465507392442622,0.0635106888130764,0.04778377709227312,0.048281375773746124,0.0482673139625108,-0.12559675575364765
2026-07-02,426571,0.999995492761852,62.657,12.196562235664006,0.06339519409998351,0.06801491004459846,0.06974993660503005,0.0731655809138457,0.07253756278048815,0.07611449346526143,-0.05811857015236865
2026-07-03,213652,0.9999929037309027,63.4205,9.06646904392113,0.04461328822727665,0.04979377414664095,0.051154777206445554,0.05185501503652583,0.05226816967518748,0.05268900203882481,0.06494391833791789
2026-07-04,70319,0.9999672701358796,64.898,1.6302505470122235,0.01197801380469356,0.014136944698515877,0.01455212127603152,0.015092010504984946,0.01486829972574598,0.01621189158385815,-0.0020235163957016415
2026-07-05,97855,0.9999730306752894,65.58449999999999,2.3031356494293522,0.017563089247071558,0.01977767404092668,0.021440014459319322,0.021938298492507013,0.020890676769245584,0.018056005204924723,0.0032862386854846017
2026-07-06,349282,0.9999995011345717,65.08449999999999,7.907412671219717,0.0431108010238661,0.04812267652269659,0.049666000097729646,0.05272045009575994,0.0567274900074102,0.05591220110561501,-0.049663821321476946
2026-07-07,440505,0.999996627971192,60.592,8.503597834697656,0.051821359151659765,0.056056964508718825,0.0566255162404629,0.0596455734788178,0.06012204242253437,0.061889644781772946,-0.05043417908811939
2026-07-08,477231,0.9999990733168865,60.172,11.65492255534135,0.06046552617209724,0.06614689928004185,0.06793359101670637,0.0721375333904901,0.07374051245082207,0.07660756535321225,0.060398868313437507
2026-07-09,397809,0.9999989940570023,63.831,10.373486237094824,0.04468590079094041,0.050020817814123326,0.051982426329872204,0.05328136645009743,0.052121873389288476,0.051778326004089686,0.03540296491586164
2026-07-10,389175,0.9999965557480903,62.965,6.114508060033354,0.04178347344288436,0.0459602419413585,0.047520144327695225,0.049543275793211904,0.04864771672928493,0.04781023636812088,-0.03202102748020177
2026-07-11,112603,0.9999920015614815,63.2205,1.6742986847620551,0.011524177228770728,0.012942326739974095,0.013515477432768212,0.013935983835324373,0.0129675290189331,0.012113032043898084,-0.0015079487615264036
2026-07-12,130483,0.9999966325346296,63.0175,2.9793311381759113,0.01791661472380702,0.01923042136342263,0.01961158807602539,0.02206239693857309,0.020242107043155416,0.021257564636572104,-0.017870640420054894
2026-07-13,472934,0.9999985435608449,57.3955,13.439206906464799,0.10485518305209207,0.057814299319442305,0.058948255385256845,0.05790484062316831,0.057669839088335464,0.05550374704638059,-0.1002647782841718
2026-07-14,508569,0.9999981046940509,59.2145,13.512737589610651,0.0587831263933649,0.06465859518831203,0.0663832831232737,0.06630359040364989,0.067865512331441,0.06581797542516421,0.10651210319339009
2026-07-15,468805,0.9999983722300346,60.2485,12.960488642870768,0.04707382338796545,0.05043513683687127,0.05119217721392393,0.051662160266191436,0.05234513272322771,0.05336719795355492,-0.09554405854770195
2026-07-16,498280,0.9999942513674769,54.0585,11.142558524561352,0.05252760786667251,0.057209725278624834,0.05777569127726903,0.057804090356415094,0.0549920864219225,0.056352468283104765,-0.09465174574877734
2026-07-17,525553,0.9999945392783565,51.173500000000004,13.155246367748944,0.06628206361458686,0.06914828338462733,0.0682434937040989,0.06768477051318461,0.0671559595793103,0.07254715065952638,0.01341848495408597
2026-07-18,104676,0.9999813747170254,52.301,1.9014932792871932,0.011467832031374758,0.013614659103228717,0.014235890352716808,0.014720799358062068,0.014167455245554312,0.013438756358370408,-0.006021217429779524
2026-07-19,139839,0.999988385008912,52.816,4.163511057255373,0.02440065134028677,0.029364657695147234,0.03163773200713974,0.032707060892334654,0.03583618199864163,0.03816526233747536,0.011520124334977209
2026-07-20,440945,0.9999992788027315,53.568,5.629293608124259,0.054316919066288015,0.058441467152748554,0.05879841059324781,0.05930002600980932,0.05811777971001278,0.057992844556242505,0.015030618123152567
2026-07-21,406175,0.9999982732795949,56.616,13.177370354670051,0.04329753674941519,0.04411446056138613,0.04393378363516955,0.04322896340166963,0.04198655982519182,0.04279646031260832,0.11954144565619236
2026-07-22,476057,0.999999479369294,58.1405,7.5136952726584685,0.04272099558875312,0.04659198195168164,0.04726456113786061,0.048059899574784216,0.04708063616598697,0.05338850394136792,-0.015035098479068039
2026-07-23,493206,0.9999972478215856,58.545,4.850115295926201,0.046045995020967456,0.04934135274463393,0.049391295039706816,0.05145311706590324,0.05065145475763603,0.051146697478712595,-0.01609848917147739
2026-07-24,448855,0.9999989458816783,55.835,10.373421688904811,0.045513657225267505,0.04937222706662019,0.0505630534760946,0.051255249566300315,0.05055476815113014,0.05359257573960636,-0.09591152161471124
2026-07-25,112155,0.9998952888960647,53.729,3.1733328370153893,0.012904585641532223,0.014977301741937276,0.015534581137012901,0.015641961822810895,0.015851110300208048,0.017492065829446898,0.031071944629006774
2026-07-26,124343,0.9999893162683217,55.024,3.8174251235824306,0.014417703594851368,0.017129836269723423,0.01816419030836377,0.01862856878129776,0.018832487988924663,0.019735640869276372,0.0320927578999191
2026-07-27,486165,0.9999979392502432,54.150499999999994,11.135631249942293,0.050227370803378746,0.05523906371073937,0.056477998578029716,0.0565606577501995,0.05483779269355013,0.05557970477527233,-0.08654050653693446
2026-07-28,589540,0.9999975197037153,48.4615,14.5094559598857,0.06406377300876535,0.07140617699968563,0.07292559823537575,0.07355010150875987,0.07311468259163358,0.08219522595823112,-0.060040386054336474
2026-07-29,710925,0.9999986579697338,46.028000000000006,17.408968453984542,0.14863532952800415,0.12057844022215665,0.1228639172172059,0.127713566931023,0.12817899476912548,0.14415767610046917,-0.08199442016066419
2026-07-30,582068,0.9999997997026158,46.1965,23.083999870120035,0.06794689980226935,0.07419475631136237,0.07711565492567284,0.07968608575944215,0.08043977145719546,0.08325628738392574,0.17967491852789552
2026-07-31,567507,0.9999464229769213,53.6275,11.54817957204792,0.06744036140408162,0.07307883558969555,0.07562399596955492,0.07690476820284177,0.07308763209224317,0.0739304234597302,-0.07318816663992196
2026-08-01,94883,0.9996417405755208,49.9715,2.7755820817866192,0.017162401611321956,0.01959442441256653,0.019311169176418584,0.018711445933555334,0.0191125129210997,0.01958315449856163,0.004567635879969943
2026-08-02,176334,0.9999967675304977,51.506,4.8033238845959625,0.04443673678801939,0.031186524833740684,0.031100024298915913,0.032186410194766014,0.03219956692130009,0.03124200217209985,0.0445642962849019
2026-08-03,478921,0.999998288302905,50.8815,8.897143362518795,0.0540284798795799,0.058489029389156684,0.060296450617461674,0.06053526309451675,0.05906627587576547,0.061686991463435425,-0.005213486340307467
2026-08-04,494521,0.9999986600903125,53.206500000000005,11.105785947205696,0.05095326846100365,0.05448064421537401,0.05606069882341955,0.05609014864720203,0.05529552153006063,0.05841863060179806,0.052747944843889095
2026-08-05,489632,0.9999982452540626,54.206500000000005,6.435575069410499,0.05082400861762564,0.05575974277964069,0.05731285875261936,0.05968464059257124,0.0543364863031126,0.05564776885379695,-0.050722574233551844
2026-08-06,459746,0.9999979958168171,51.2795,8.159205920494541,0.046667625349367164,0.051940249032156306,0.052052929719815885,0.05259916943651386,0.05228196875444097,0.05113351311744113,-0.0075849089705088794
2026-08-07,405909,0.9999772809067246,50.6455,7.602847242104439,0.04228229826856963,0.04735930407834452,0.04770186824382385,0.04655531865882365,0.04695657169462748,0.048740898877036525,-0.021821533971652953
2026-08-08,66569,0.9999888893246182,50.948499999999996,1.7498061768256195,0.009016432883504528,0.010233486540360569,0.010376029983563791,0.010922350956901953,0.010989746304095216,0.012351239630593626,0.01049156454976564
2026-08-09,65979,0.9999704539431598,51.037499999999994,49.51457261817292,0.958460076321368,0.01059922272634945,0.010818368124014703,0.011114238902614714,0.011416910278049223,0.009635822615233406,-0.003965597563374908
2026-08-10,345759,0.9999963279830556,50.2265,4.685773446288321,0.03745755478053228,0.04038229303271282,0.040624255043256605,0.04039640366027275,0.040500321544624095,0.04075177626896458,-0.025879190777163483
