ts,best_bid,best_ask,bid_sz,ask_sz,mid,microprice,imbalance,spread_bp,stale_ns,dt
1785050520000000000,54.856,54.868,1.8,37.9,54.862,54.856544080604536,0.04534005037783376,2.187306332251915,2745452855,2026-07-26
1785050580000000000,54.844,54.845,20.9,1.8,54.8445,54.84492070484581,0.9207048458149779,0.1823336888836017,3171971867,2026-07-26
1785050640000000000,54.822,54.823,96.1,37.8,54.822500000000005,54.82271769977596,0.7176997759522032,0.1824068584974544,4214914474,2026-07-26
1785050700000000000,54.831,54.832,1.8,19.6,54.831500000000005,54.83108411214953,0.08411214953271028,0.1823769183767851,323094951,2026-07-26
1785050760000000000,54.831,54.844,1.8,35.9,54.837500000000006,54.83162068965518,0.04774535809018568,2.3706405288348527,1137254116,2026-07-26
1785050820000000000,54.834,54.844,20.0,38.5,54.839,54.83741880341881,0.3418803418803419,1.8235197578362132,565969775,2026-07-26
1785050880000000000,54.783,54.786,2.8,18.3,54.7845,54.78339810426541,0.13270142180094785,0.5476001423760577,159431620,2026-07-26
1785050940000000000,54.799,54.802,1.8,18.2,54.8005,54.79927,0.09,0.5474402605815848,2635935885,2026-07-26
1785051000000000000,54.809,54.81,74.1,82.1,54.8095,54.809474391805374,0.47439180537772085,0.1824501226985787,7797673351,2026-07-26
1785051060000000000,54.82,54.823,1.8,18.2,54.8215,54.820269999999994,0.09,0.5472305573543433,518434147,2026-07-26
1785051120000000000,54.798,54.802,9.1,1.8,54.8,54.80133944954129,0.8348623853211009,0.7299270072988656,1374455669,2026-07-26
1785051180000000000,54.798,54.803,10.9,17.1,54.8005,54.79994642857144,0.3892857142857143,0.912400434301777,1340362223,2026-07-26
1785051240000000000,54.818,54.82,9.1,1.8,54.819,54.81966972477064,0.8348623853211009,0.3648370090666455,9975895169,2026-07-26
1785051300000000000,54.806,54.809,1.8,21.1,54.8075,54.806235807860254,0.07860262008733623,0.5473703416503424,702701080,2026-07-26
1785051360000000000,54.82,54.828,85.7,1.8,54.824,54.82783542857144,0.9794285714285714,1.459214942361497,5513144148,2026-07-26
1785051420000000000,54.822,54.838,22.6,18.2,54.83,54.830862745098045,0.553921568627451,2.918110523435754,56090869,2026-07-26
1785051480000000000,54.825,54.832,20.0,18.2,54.828500000000005,54.828664921465965,0.5235602094240838,1.2767082812766892,10865363114,2026-07-26
1785051540000000000,54.827,54.833,1.8,3.5,54.83,54.82903773584905,0.339622641509434,1.0942914462885698,46407765418,2026-07-26
1785051600000000000,54.821,54.828,1.8,20.0,54.8245,54.82157798165137,0.08256880733944955,1.276801430018514,488934656,2026-07-26
1785051660000000000,54.828,54.834,1.8,8.1,54.831,54.82909090909091,0.18181818181818182,1.094271488756402,87024812,2026-07-26
1785051720000000000,54.842,54.847,94.0,20.0,54.8445,54.84612280701755,0.8245614035087719,0.9116684444205998,13078922650,2026-07-26
1785051780000000000,54.841,54.849,18.2,1.8,54.845,54.84828,0.9099999999999999,1.4586562129629987,12252996067,2026-07-26
1785051840000000000,54.837,54.85,20.0,20.0,54.843500000000006,54.84349999999999,0.5,2.3703811755263837,7396552162,2026-07-26
1785051900000000000,54.83,54.838,1.8,1.8,54.834,54.833999999999996,0.5,1.4589488273703672,220552350,2026-07-26
1785051960000000000,54.821,54.83,18.2,20.0,54.8255,54.82528795811518,0.4764397905759162,1.6415718962891979,3685491402,2026-07-26
1785052020000000000,54.823,54.829,1.8,1.8,54.826,54.826,0.5,1.0943712836975572,21261001964,2026-07-26
1785052080000000000,54.805,54.811,102.2,20.0,54.808,54.81001800327332,0.8363338788870703,1.0947306962487644,4743169822,2026-07-26
1785052140000000000,54.819,54.821,16.6,27.3,54.82,54.8197562642369,0.37813211845102507,0.364830353884593,222562404,2026-07-26
1785052200000000000,54.771,54.779,18.3,1.8,54.775000000000006,54.77828358208955,0.9104477611940298,1.4605203103610536,5463791127,2026-07-26
1785052260000000000,54.792,54.801,20.1,20.0,54.7965,54.796511221945146,0.5012468827930174,1.642440666830973,188524613,2026-07-26
1785052320000000000,54.77,54.771,73.3,1.8,54.7705,54.770976031957396,0.9760319573901465,0.1825800385239626,296147965,2026-07-26
1785052380000000000,54.816,54.817,108.4,1.8,54.816500000000005,54.81698366606171,0.9836660617059891,0.1824268240397817,2718785672,2026-07-26
1785052440000000000,54.769,54.784,18.3,1.8,54.7765,54.782656716417904,0.9104477611940298,2.738400591494632,59243104,2026-07-26
1785052500000000000,54.775,54.781,2.9,1.8,54.778,54.77870212765957,0.6170212765957447,1.095330242068025,1141584996,2026-07-26
1785052560000000000,54.791,54.795,1.8,1.8,54.793,54.79299999999999,0.5,0.7300202580630534,55133613,2026-07-26
1785052620000000000,54.772,54.777,20.1,35.9,54.7745,54.77379464285714,0.35892857142857143,0.9128335265502301,5312503565,2026-07-26
1785052680000000000,54.785,54.787,1.8,18.3,54.786,54.785179104477606,0.08955223880597014,0.36505676632761,2797443308,2026-07-26
1785052740000000000,54.778,54.784,20.1,40.0,54.781,54.78000665557404,0.3344425956738769,1.0952702579361873,1429159091,2026-07-26
1785052800000000000,54.8,54.803,1.8,2.6,54.8015,54.80122727272727,0.40909090909090906,0.5474302710692434,581462316,2026-07-26
1785052860000000000,54.793,54.797,9.1,1.8,54.795,54.79633944954128,0.8348623853211009,0.7299936125554856,521787868,2026-07-26
1785052920000000000,54.793,54.794,4.3,20.1,54.793499999999995,54.7931762295082,0.17622950819672129,0.18250339912538338,4024014110,2026-07-26
1785052980000000000,54.776,54.782,117.6,20.1,54.778999999999996,54.78112418300653,0.8540305010893247,1.0953102466261015,1246485065,2026-07-26
1785053040000000000,54.77,54.774,31.7,1.8,54.772000000000006,54.773785074626865,0.9462686567164179,0.7303001533626273,2341675031,2026-07-26
1785053100000000000,54.774,54.782,109.5,1.8,54.778,54.7818706199461,0.9838274932614556,1.460440322756502,166946533,2026-07-26
1785053160000000000,54.784,54.786,4.3,18.3,54.785,54.78438053097344,0.1902654867256637,0.3650634297713689,10216230584,2026-07-26
1785053220000000000,54.776,54.78,1.8,20.1,54.778000000000006,54.77632876712329,0.0821917808219178,0.730220161378251,3748381669,2026-07-26
1785053280000000000,54.774,54.78,24.4,1.8,54.777,54.77958778625955,0.9312977099236641,1.0953502382387184,7545749978,2026-07-26
1785053340000000000,54.787,54.79,4.3,2.0,54.7885,54.78904761904762,0.6825396825396826,0.5475601631729493,636523000,2026-07-26
1785053400000000000,54.785,54.788,12.9,1.8,54.7865,54.78763265306121,0.8775510204081632,0.5475801520447763,11885251686,2026-07-26
1785053460000000000,54.785,54.786,10.9,1.8,54.7855,54.78585826771654,0.858267716535433,0.1825300490101897,6961246244,2026-07-26
1785053520000000000,54.786,54.788,0.2,3.2,54.787,54.78611764705882,0.058823529411764705,0.3650501031258034,272207685,2026-07-26
1785053580000000000,54.745,54.752,4.3,36.6,54.7485,54.74573594132029,0.10513447432762836,1.2785738422066364,35112136,2026-07-26
1785053640000000000,54.746,54.747,29.1,4.2,54.7465,54.74687387387387,0.8738738738738738,0.18266007872606824,17505988830,2026-07-26
1785053700000000000,54.743,54.744,13.4,4.0,54.7435,54.743770114942535,0.7701149425287357,0.18267008868590232,3695087965,2026-07-26
1785053760000000000,54.743,54.744,42.5,4.0,54.7435,54.743913978494625,0.9139784946236559,0.18267008868590232,13855712634,2026-07-26
1785053820000000000,54.729,54.731,15.2,18.3,54.730000000000004,54.72990746268657,0.45373134328358206,0.36543029417183337,7676172178,2026-07-26
1785053880000000000,54.737,54.738,4.3,20.7,54.7375,54.737172,0.172,0.18269011189726778,10787016765,2026-07-26
1785053940000000000,54.721,54.722,1.8,4.3,54.7215,54.72129508196721,0.2950819672131148,0.1827435285956662,4651676450,2026-07-26
1785054000000000000,54.741,54.742,6.1,7.0,54.7415,54.74146564885496,0.46564885496183206,0.18267676260198742,989779619,2026-07-26
1785054060000000000,54.742,54.746,1.8,1.8,54.744,54.74399999999999,0.5,0.7306736811348985,294879006,2026-07-26
1785054120000000000,54.749,54.76,41.6,20.1,54.7545,54.75641653160454,0.6742301458670988,2.008967299490577,5999977638,2026-07-26
1785054180000000000,54.749,54.756,41.6,0.4,54.7525,54.75593333333334,0.9904761904761905,1.2784804346829637,8249284918,2026-07-26
1785054240000000000,54.757,54.759,4.3,5.3,54.757999999999996,54.757895833333336,0.4479166666666667,0.3652434347497068,118202979,2026-07-26
1785054300000000000,54.714,54.718,4.3,20.1,54.716,54.71470491803279,0.17622950819672129,0.7310475911990805,2305596177,2026-07-26
1785054360000000000,54.714,54.717,4.3,1.8,54.7155,54.71611475409836,0.7049180327868853,0.5482907037311391,7966509089,2026-07-26
